sa2_maincode_2016,p_tot_marrd_reg_marrge,p_tot_married_de_facto,p_tot_not_married,p_tot_total,registered_marriage_percent,defacto_percent,not_married_percent
105031100,3128,764,2997,6884,0.4543869843114468,0.11098198721673445,0.4353573503776874
105031101,5246,1276,5065,11590,0.45263157894736844,0.11009490940465919,0.4370146678170837
105031102,2625,788,2453,5862,0.44779938587512796,0.13442511088365747,0.4184578642101672
105031103,2308,328,1179,3818,0.6045049764274489,0.08590885280251441,0.30880041906757466
105031104,1520,261,1205,2990,0.5083612040133779,0.08729096989966555,0.40301003344481606
105031105,2056,470,1773,4290,0.47925407925407926,0.10955710955710955,0.4132867132867133
105031106,2366,598,2456,5419,0.4366119210186381,0.11035246355416128,0.4532201513194316
106011107,3674,904,2411,6989,0.5256832164830448,0.1293461153240807,0.34497066819287453
106011108,6176,1704,6774,14657,0.42136862932387253,0.11625844306474722,0.46216824725387184
106011109,2772,628,2012,5412,0.5121951219512195,0.11603843311160385,0.37176644493717664
106011110,3478,633,2330,6439,0.5401459854014599,0.09830719055753999,0.3618574312781488
106011111,5397,1588,5576,12558,0.4297658862876254,0.1264532568880395,0.44401974836757446
106011112,5226,1324,4353,10903,0.4793176190039439,0.1214344675777309,0.3992479134183252
106011113,1896,336,985,3226,0.587724736515809,0.10415375077495351,0.30533168009919404
106021114,1974,661,1890,4524,0.4363395225464191,0.14610963748894784,0.4177718832891247
106021115,9571,2045,8090,19713,0.4855171714097296,0.10373864962207681,0.4103890833460153
106021116,3136,477,1717,5330,0.5883677298311445,0.08949343339587242,0.3221388367729831
106021117,7291,2110,6329,15728,0.46356815869786366,0.13415564598168872,0.4024033570701933
106021118,4048,826,2322,7200,0.5622222222222222,0.11472222222222223,0.3225
106031119,2008,427,1631,4068,0.4936086529006883,0.10496558505408063,0.40093411996066863
106031120,2398,552,1899,4850,0.49443298969072164,0.11381443298969073,0.3915463917525773
106031121,7946,1475,5777,15194,0.5229695932604975,0.09707779386599974,0.3802158746873766
106031122,3895,1161,4539,9596,0.4058982909545644,0.12098791162984576,0.47300958732805337
106031123,2365,338,1267,3968,0.5960181451612904,0.08518145161290322,0.31930443548387094
106031124,2270,345,1302,3917,0.5795251467960174,0.0880776104161348,0.3323972427878478
106031125,5064,1027,3291,9379,0.5399296300245229,0.10949994668941251,0.3508902868109607
106041126,3480,1125,3455,8060,0.4317617866004963,0.13957816377171217,0.4286600496277916
106041127,1401,365,908,2674,0.5239341810022439,0.13649962602842183,0.3395661929693343
106041128,1944,465,1601,4012,0.48454636091724823,0.11590229312063809,0.3990528414755733
106041129,2857,693,1990,5533,0.5163564070124707,0.12524850894632206,0.35966022049521057
107011131,8517,1726,7234,17474,0.48740986608675746,0.09877532333753004,0.41398649421998396
107011132,3492,524,2110,6127,0.5699363473151624,0.08552309449975518,0.3443773461726783
107011133,0,0,0,0,0.0,0.0,0.0
107011134,5987,916,4358,11259,0.5317523758770761,0.08135713651301181,0.38706812327915446
107011545,4388,932,4852,10166,0.4316348613023805,0.09167814282903797,0.47727719850482
107011546,2792,628,3657,7078,0.39446171234812094,0.08872562870867477,0.5166713760949421
107011547,1504,284,1583,3373,0.44589386302994366,0.08419804328490958,0.46931514971835164
107021135,0,4,3,8,0.0,0.5,0.375
107031136,5457,1012,3745,10213,0.5343190051894644,0.09908939586801135,0.3666895133653187
107031137,2273,560,2150,4979,0.4565173729664591,0.11247238401285399,0.4318136171922073
107031138,3150,534,2121,5802,0.5429162357807652,0.09203722854188211,0.3655635987590486
107031139,2620,302,1381,4305,0.6085946573751452,0.07015098722415795,0.3207897793263647
107031140,3129,484,1827,5442,0.5749724366041896,0.08893789048144064,0.33572216097023155
107031141,6904,1030,4072,12006,0.5750458104281193,0.0857904381142762,0.3391637514576045
107031142,3736,660,3150,7549,0.49489998675321234,0.08742879851635978,0.4172738111008081
107031143,6464,1479,7059,15007,0.43073232491503965,0.09855400812953954,0.4703804891050843
107041144,7445,1311,7027,15782,0.4717399569129388,0.0830693194778862,0.4452540869344823
107041145,4940,1190,5500,11635,0.4245810055865922,0.10227761065749892,0.47271164589600345
107041146,7842,996,6488,15323,0.5117796776088234,0.06500032630685897,0.4234157801996998
107041147,3416,678,2076,6176,0.5531088082901554,0.10977979274611399,0.33613989637305697
107041148,4334,981,2760,8077,0.5365853658536586,0.1214559861334654,0.3417110313235112
107041150,7316,1309,5552,14176,0.5160835214446953,0.09233916478555304,0.39164785553047404
107041548,3430,1275,5849,10552,0.3250568612585292,0.12083017437452616,0.5543025018953753
107041549,4833,1141,6463,12435,0.3886610373944511,0.09175713711298754,0.5197426618415762
108011151,1753,363,1322,3433,0.5106321002039033,0.10573842120594232,0.3850859306728809
108011152,5106,1033,4512,10643,0.4797519496382599,0.097059099877854,0.42394061824673496
108011153,2227,549,1601,4378,0.5086797624486067,0.12539972590223847,0.36569209684787574
108011154,2180,376,2121,4678,0.46601111586147925,0.08037622915775973,0.45339888841385206
108021155,3882,963,4690,9528,0.4074307304785894,0.10107052896725441,0.4922334172963896
108021156,3005,829,2774,6601,0.45523405544614454,0.1255870322678382,0.42023935767307985
108021157,1584,370,1438,3390,0.4672566371681416,0.10914454277286136,0.424188790560472
108021158,2030,517,2517,5057,0.4014237690330235,0.10223452639905083,0.49772592446114294
108021159,2614,746,2177,5536,0.4721820809248555,0.1347543352601156,0.3932442196531792
108021160,1987,394,1536,3914,0.5076647930505876,0.10066428206438426,0.3924374041900869
108031161,119,33,76,236,0.5042372881355932,0.13983050847457626,0.3220338983050847
108041162,6827,1161,4668,12655,0.5394705649940735,0.09174239431054919,0.3688660608455156
108041163,10349,2123,8048,20522,0.504288081083715,0.10344995614462528,0.39216450638339345
108041164,5891,1234,5573,12691,0.4641872192892601,0.09723426049956663,0.43913009219131666
108041165,1919,444,1383,3741,0.5129644480085539,0.11868484362469928,0.3696872493985565
108041166,3880,917,3065,7857,0.49382716049382713,0.1167112129311442,0.39009800178185056
108051167,1898,352,1413,3668,0.5174482006543075,0.09596510359869138,0.3852235550708833
108051168,4370,774,2658,7803,0.5600410098679995,0.09919261822376009,0.340638216070742
108051169,6316,1464,6849,14619,0.43204049524591287,0.10014364867638005,0.4684998973938026
108051170,4850,990,3378,9227,0.5256312994472743,0.10729381163975289,0.3660994906253387
108051171,1753,373,1799,3928,0.4462830957230143,0.09495926680244399,0.4579938900203666
109011172,5182,1217,3844,10240,0.5060546875,0.11884765625,0.375390625
109011173,2959,781,3091,6837,0.432792160304227,0.11423138803568816,0.45209887377504754
109011174,3173,724,3266,7158,0.4432802458787371,0.10114557138865606,0.4562727018720313
109011175,4481,719,2697,7898,0.5673588250189922,0.09103570524183338,0.341478855406432
109011176,4436,1079,4880,10392,0.4268668206312548,0.10382986913010007,0.4695919938414165
109021177,968,200,792,1961,0.49362570117287097,0.10198878123406425,0.4038755736868944
109021178,2039,454,1535,4025,0.506583850931677,0.11279503105590062,0.3813664596273292
109021179,1228,284,850,2356,0.5212224108658744,0.12054329371816638,0.3607809847198642
109031180,1983,415,1556,3957,0.5011372251705838,0.10487743239828153,0.39322719231741216
109031181,2529,467,1699,4690,0.5392324093816631,0.09957356076759062,0.3622601279317697
109031182,2306,589,2209,5103,0.4518910444836371,0.11542230060748579,0.43288261806780326
109031183,2543,530,1647,4722,0.538542990258365,0.11224057602710716,0.34879288437102923
109031184,2251,451,1356,4058,0.5547067520946279,0.11113849186791523,0.33415475603745687
109031185,3419,668,2516,6607,0.5174814590585742,0.10110488875435145,0.38080823369153927
110011186,6446,1685,6806,14938,0.43151693667157587,0.11279957156245816,0.45561654840005356
110011187,1616,330,1118,3059,0.5282772147760706,0.10787839163125204,0.36547891467799937
110011188,2294,430,1542,4261,0.5383712743487444,0.10091527810373152,0.36188688101384653
110011189,1269,199,764,2234,0.5680393912264996,0.08907788719785138,0.341987466427932
110021190,2831,683,2503,6017,0.47050024929366796,0.11351171680239322,0.41598803390393885
110021191,3665,955,3520,8145,0.4499693063228975,0.1172498465316145,0.4321669736034377
110021192,1808,378,1342,3527,0.5126169549191948,0.1071732350439467,0.3804933371136944
110021193,2167,475,1448,4090,0.5298288508557457,0.11613691931540342,0.35403422982885085
110021194,2229,509,1930,4670,0.4773019271948608,0.10899357601713063,0.4132762312633833
110031195,2153,652,2485,5294,0.4066868152625614,0.12315829240649792,0.46939931998488854
110031196,1616,458,1313,3391,0.4765555883220289,0.13506340312592155,0.3872014155116485
110031197,2388,498,1902,4788,0.49874686716791977,0.10401002506265664,0.39724310776942356
110031198,1622,320,1160,3097,0.5237326444946723,0.10332579916047788,0.3745560219567323
110041199,2943,779,2624,6346,0.4637566971320517,0.12275449101796407,0.41348881184998426
110041200,1479,324,1086,2892,0.5114107883817427,0.11203319502074689,0.3755186721991701
110041201,2561,559,2202,5322,0.48121007140172867,0.10503570086433671,0.4137542277339346
110041202,6562,1556,6242,14356,0.457091111730287,0.10838673725271664,0.4348007801616049
110041203,4579,1112,4464,10149,0.45117745590698594,0.10956744506847965,0.4398462902749039
110041204,1271,403,1738,3407,0.3730554740240681,0.11828588200763135,0.5101262107425888
110041205,7015,1216,4644,12874,0.5448966910051266,0.09445393816995495,0.3607270467609135
111011206,6817,1241,5217,13273,0.5135990356362541,0.09349807880659987,0.39305356739245084
111011207,1882,481,2022,4382,0.42948425376540394,0.10976722957553628,0.4614331355545413
111011208,8516,1899,7324,17738,0.4800992220092457,0.10705829293043184,0.41289886120193936
111011209,8385,1905,7004,17294,0.4848502370764427,0.11015381057013993,0.40499595235341734
111011210,2553,674,3125,6351,0.4019839395370808,0.10612501968193985,0.4920484962997953
111011211,1350,175,1044,2564,0.5265210608424337,0.06825273010920437,0.40717628705148207
111011212,4435,802,3543,8781,0.505067759936226,0.09133356109782485,0.40348479672019133
111011213,5541,564,2891,8999,0.6157350816757418,0.06267363040337816,0.32125791754639405
111011214,5057,902,4109,10071,0.5021348426174164,0.08956409492602523,0.4080031774401748
111021215,2726,616,2868,6211,0.4388987280631138,0.09917887618740943,0.4617613910803413
111021216,3336,663,2484,6481,0.5147353803425397,0.10229902792778892,0.3832741860823947
111021217,5195,1161,3520,9880,0.5258097165991903,0.11751012145748987,0.3562753036437247
111021218,5478,1012,4330,10821,0.5062378708067646,0.09352185565104888,0.40014786064134555
111021219,4771,971,4223,9965,0.47877571500250876,0.09744104365278475,0.42378324134470646
111021220,3697,680,2378,6756,0.5472172883362937,0.10065127294256956,0.35198342214328004
111021221,2345,633,1798,4772,0.4914082145850796,0.1326487845766974,0.37678122380553225
111031222,5823,1130,4652,11610,0.5015503875968992,0.09732988802756244,0.4006890611541774
111031223,2659,662,2896,6217,0.427698246742802,0.10648222615409361,0.46581952710310437
111031224,3268,1065,4581,8911,0.36673773987206826,0.11951520592526091,0.514083716754573
111031225,5739,1164,5413,12310,0.4662063363119415,0.09455727051177903,0.4397238017871649
111031226,5152,979,3462,9601,0.5366107697114884,0.10196854494323508,0.36058743880845745
111031227,3731,1621,5631,10986,0.3396140542508647,0.1475514290915711,0.5125614418350628
111031228,4616,1139,4368,10117,0.45626173766926953,0.11258278145695365,0.4317485420579223
111031229,2720,1210,4177,8104,0.33563672260612043,0.14930898321816388,0.5154244817374136
111031230,9,0,0,10,0.9,0.0,0.0
111031231,2352,690,4671,7718,0.30474216118165326,0.08940139932625032,0.6052086032650946
111031232,2739,537,2085,5356,0.5113890963405526,0.10026138909634055,0.38928304705003736
111031233,6681,1446,6559,14687,0.4548920814325594,0.09845441546946279,0.44658541567372506
111031234,3135,1141,4605,8882,0.35296104480972756,0.12846205809502365,0.5184643098401261
111031235,1814,1076,3082,5975,0.30359832635983264,0.1800836820083682,0.5158158995815899
112011236,5467,1369,5830,12667,0.4315939054235415,0.10807610326044051,0.4602510460251046
112011237,6424,1235,4506,12164,0.5281157513975666,0.10152910226899046,0.37043735613285106
112011238,1748,573,1468,3791,0.46109206014244264,0.15114745449749406,0.3872329200738591
112011239,2136,912,2899,5949,0.3590519415027736,0.15330307614725164,0.4873087913935115
112011240,2019,964,3174,6147,0.32845290385553927,0.15682446721978202,0.51634943875061
112011241,1672,485,1653,3810,0.4388451443569554,0.1272965879265092,0.4338582677165354
112011242,2903,679,2004,5582,0.5200644930132569,0.12164098889286994,0.3590111071300609
112011243,1978,871,2525,5377,0.3678631206992747,0.16198623767900316,0.4695927096894179
112021244,3674,957,3990,8619,0.42626754843949416,0.11103376261747303,0.4629307344239471
112021245,2428,551,1919,4897,0.49581376352869105,0.11251786808249949,0.3918725750459465
112021246,4148,977,4200,9327,0.44473035273935885,0.10474965154926558,0.45030556449018977
112021247,2337,621,2280,5236,0.44633307868601985,0.11860198624904507,0.43544690603514136
112021248,3496,1234,5857,10581,0.330403553539363,0.11662413760514129,0.5535393630091674
112021249,5234,1447,4092,10781,0.48548372136165474,0.1342176050459141,0.37955662740005564
112031250,4530,1027,3735,9286,0.4878311436571182,0.11059659702778377,0.40221839328020675
112031251,2672,653,2959,6288,0.42493638676844786,0.10384860050890585,0.4705788804071247
112031252,3270,872,2691,6835,0.47841989758595466,0.12757863935625458,0.39370885149963425
112031253,4595,1161,3447,9202,0.4993479678330798,0.1261682242990654,0.37459247989567485
112031254,6112,1589,6800,14502,0.4214591090884016,0.10957109364225624,0.468900841263274
112031550,5841,1062,4987,11886,0.49141847551741547,0.08934881373043917,0.41956924112401145
112031551,1377,217,768,2367,0.5817490494296578,0.09167722855935784,0.3244613434727503
112031552,2528,580,3120,6225,0.4061044176706827,0.09317269076305221,0.5012048192771085
113011256,6416,1137,5317,12866,0.49867868801492304,0.08837245453132286,0.41325975439141927
113011257,4582,863,3122,8563,0.5350928412939391,0.10078243606212776,0.36459184865117367
113011258,3282,698,2692,6677,0.4915381159203235,0.10453796615246368,0.4031750786281264
113011259,1954,391,1671,4010,0.48728179551122197,0.09750623441396508,0.41670822942643393
113021260,1231,248,793,2271,0.5420519594892118,0.10920299427564949,0.349185380889476
113021261,1950,545,1773,4265,0.45720984759671746,0.12778429073856976,0.41570926143024617
113021262,1738,417,1166,3318,0.5238095238095238,0.1256781193490054,0.351416515973478
113031263,2840,482,2049,5377,0.5281755625813651,0.08964106379021759,0.3810675097638088
113031264,1196,327,976,2494,0.47955092221331197,0.13111467522052928,0.3913392141138733
113031265,1756,385,1524,3664,0.47925764192139736,0.1050764192139738,0.41593886462882096
113031266,2510,428,1819,4760,0.5273109243697479,0.08991596638655462,0.3821428571428571
113031267,6100,1095,4527,11721,0.5204334101185906,0.09342206296391092,0.38622984386997694
113031268,1357,281,1163,2805,0.4837789661319073,0.10017825311942959,0.4146167557932264
113031269,6979,1647,6225,14850,0.46996632996633,0.11090909090909092,0.41919191919191917
113031270,2907,967,4242,8113,0.3583138173302108,0.11919142117589054,0.5228645383951682
113031271,5394,962,3422,9773,0.5519287833827893,0.09843446229407551,0.35014836795252224
114011272,3577,654,2206,6431,0.5562120976519981,0.1016949152542373,0.34302596796765666
114011273,1391,260,1014,2663,0.5223432219301539,0.09763424708974841,0.3807735636500188
114011274,1845,355,1469,3667,0.5031360785383147,0.09680938096536679,0.40059994545950367
114011275,14,4,10,31,0.45161290322580644,0.12903225806451613,0.3225806451612903
114011276,1644,334,1181,3158,0.5205826472450918,0.1057631412286257,0.3739708676377454
114011277,5571,1080,4597,11247,0.49533208855694855,0.0960256068284876,0.40873121721347916
114011278,5495,1640,5876,13008,0.4224323493234932,0.12607626076260764,0.4517220172201722
114011279,4862,1116,4204,10177,0.47774393239658053,0.10965903507909994,0.4130883364449248
114011280,1702,329,1317,3357,0.5070002978850164,0.09800417039022938,0.3923145665773012
114011281,1385,318,794,2502,0.5535571542765787,0.12709832134292565,0.3173461231015188
114011282,5802,1089,4356,11245,0.5159626500666963,0.09684304135171187,0.3873721654068475
114011283,1949,447,1286,3680,0.5296195652173913,0.12146739130434783,0.34945652173913044
114021284,5538,619,3317,9476,0.5844238075137189,0.06532292106373998,0.35004221190375684
114021285,2168,536,1567,4267,0.5080853058354816,0.12561518631356924,0.36723693461448326
114021286,3184,654,2555,6394,0.4979668439161714,0.10228339067876134,0.39959336878323426
114021287,3365,737,2809,6913,0.48676406769853897,0.106610733400839,0.40633588890496164
114021288,1437,212,802,2454,0.5855745721271394,0.08638956805215973,0.32681336593317034
114021289,2645,552,1611,4810,0.5498960498960499,0.11476091476091477,0.3349272349272349
115011290,10004,996,5787,16790,0.595830851697439,0.0593210244192972,0.34466944609886835
115011291,9318,580,5489,15387,0.6055761356989666,0.037694157405602134,0.3567297068954312
115011294,3029,146,1607,4780,0.6336820083682009,0.030543933054393305,0.33619246861924684
115011296,6224,297,3397,9919,0.6274826091339852,0.029942534529690493,0.34247403972174617
115011553,3308,332,2064,5707,0.5796390397757141,0.05817417206938847,0.3616611179253548
115011554,2299,53,1652,3996,0.5753253253253253,0.013263263263263263,0.4134134134134134
115011555,5519,351,3186,9058,0.6092956502539192,0.038750275999116804,0.35173327445352176
115011556,4299,306,2492,7098,0.6056635672020287,0.04311073541842773,0.3510848126232742
115011557,2407,129,1396,3934,0.6118454499237418,0.032791052364006104,0.3548551093035079
115011558,8836,367,5277,14485,0.610010355540214,0.025336555056955472,0.36430790472903
115011559,10512,729,5600,16850,0.6238575667655787,0.043264094955489614,0.3323442136498516
115021297,8962,840,5718,15515,0.5776345472123752,0.05414115372220432,0.36854656783757656
115021298,2190,259,1394,3836,0.5709071949947863,0.06751824817518248,0.36339937434827946
115031299,873,274,662,1810,0.4823204419889503,0.15138121546961325,0.36574585635359114
115031300,8820,1487,5489,15793,0.5584752738555055,0.09415563857405179,0.3475590451465839
115041301,4293,595,2757,7649,0.5612498365799451,0.0777879461367499,0.36043927310759577
115041302,9768,872,5283,15924,0.613413715146948,0.05476011052499372,0.33176337603617184
116011303,6516,796,4948,12257,0.5316145875826058,0.06494248184710777,0.4036876886677001
116011304,6433,862,6081,13374,0.48100792582623,0.06445341707791237,0.4546882009869897
116011306,8620,861,7356,16833,0.5120893483039268,0.051149527713420066,0.4369987524505436
116011307,9287,1409,7795,18495,0.5021357123546905,0.07618275209516086,0.42146526088131925
116011308,9522,921,7389,17833,0.53395390568048,0.051645825155610385,0.4143441933494084
116011560,4523,547,4027,9093,0.4974155944132849,0.06015616408226108,0.44286814032772465
116011561,5957,742,5130,11834,0.5033800912624641,0.0627006929187088,0.4334967044110191
116021309,7122,481,4347,11950,0.5959832635983263,0.040251046025104605,0.36376569037656903
116021310,13805,1208,6563,21576,0.6398312940304042,0.05598813496477568,0.30418057100482015
116021312,6472,1096,4657,12229,0.5292337885354486,0.08962302723035408,0.38081609289394064
116021562,1688,135,969,2793,0.6043680630146796,0.04833512352309345,0.3469387755102041
116021563,9253,1128,6134,16520,0.5601089588377723,0.06828087167070218,0.3713075060532688
116031313,4542,1103,6706,12350,0.3677732793522267,0.08931174089068826,0.5429959514170041
116031314,3109,428,2321,5864,0.5301841746248295,0.07298772169167804,0.3958049113233288
116031315,7575,949,6358,14875,0.5092436974789916,0.0637983193277311,0.42742857142857144
116031316,5598,1335,6783,13716,0.40813648293963256,0.097331583552056,0.4945319335083115
116031317,7158,997,7566,15727,0.45514084059261145,0.06339416290455904,0.48108348699688436
116031318,3,3,0,5,0.6,0.6,0.0
116031319,7795,1000,6546,15343,0.5080492732842339,0.06517630189663039,0.4266440722153425
