Data Item,Statistical Area Level 2 (SA2) (2016 ASGS),SA2 Code (2016 ASGS),Mar-19,Jun-19,Sep-19,Dec-19
Smoothed unemployment rate (%),Blayney,103041076,4.2,3.6,2.8,2.5
Smoothed unemployment rate (%),Orange,103041077,7.6,6.5,5,4.6
Smoothed unemployment rate (%),Orange - North,103041078,3.5,3.1,2.4,2.3
Smoothed unemployment rate (%),Orange Region,103041079,2,1.6,1.2,1.2
Smoothed unemployment rate (%),Grafton,104011080,12,10.6,8.8,7.7
Smoothed unemployment rate (%),Grafton Region,104011081,9,8,6.8,6.1
Smoothed unemployment rate (%),Maclean - Yamba - Iluka,104011082,7.4,6.5,5.4,5.1
Smoothed unemployment rate (%),Bellingen,104021083,7.7,6.6,5.2,4.4
Smoothed unemployment rate (%),Coffs Harbour - North,104021084,9.4,8.4,7.1,6.5
Smoothed unemployment rate (%),Coffs Harbour - South,104021085,11.3,10.2,8.8,7.9
Smoothed unemployment rate (%),Coramba - Nana Glen - Bucca,104021086,5.3,4.7,4,3.6
Smoothed unemployment rate (%),Dorrigo,104021087,9.6,8.5,6.9,6.2
Smoothed unemployment rate (%),Korora - Emerald Beach,104021088,3.7,3.3,2.6,2.4
Smoothed unemployment rate (%),Sawtell - Boambee,104021089,7.3,6.3,5.2,4.4
Smoothed unemployment rate (%),Urunga,104021090,7.7,6.5,5.1,4.3
Smoothed unemployment rate (%),Woolgoolga - Arrawarra,104021091,7.1,6.1,4.8,4.3
Smoothed unemployment rate (%),Bourke - Brewarrina,105011092,4.2,5.3,5.5,5.1
Smoothed unemployment rate (%),Cobar,105011093,1.3,1.5,1.5,1.5
Smoothed unemployment rate (%),Coonamble,105011094,4.4,5.4,5.4,5
Smoothed unemployment rate (%),Nyngan - Warren,105011095,2.5,2.9,3,2.8
Smoothed unemployment rate (%),Walgett - Lightning Ridge,105011096,5.4,6.7,7.1,6.8
Smoothed unemployment rate (%),Broken Hill,105021097,3,3.7,3.9,3.7
Smoothed unemployment rate (%),Far West,105021098,3.8,4.6,4.6,4.2
Smoothed unemployment rate (%),Coonabarabran,105031099,2.8,3.4,3.6,3.4
Smoothed unemployment rate (%),Dubbo - East,105031100,2.3,2.8,2.9,2.7
Smoothed unemployment rate (%),Dubbo - South,105031101,1.5,1.7,1.8,1.7
Smoothed unemployment rate (%),Dubbo - West,105031102,2.4,2.9,3,2.7
Smoothed unemployment rate (%),Dubbo Region,105031103,0.7,0.8,0.9,0.8
Smoothed unemployment rate (%),Gilgandra,105031104,2.7,3.4,3.9,3.8
Smoothed unemployment rate (%),Narromine,105031105,2.4,2.8,2.8,2.6
Smoothed unemployment rate (%),Wellington,105031106,3.4,4.1,4.4,4.2
Smoothed unemployment rate (%),Branxton - Greta - Pokolbin,106011107,3.2,3.2,3.1,2.9
Smoothed unemployment rate (%),Cessnock,106011108,9.5,9.4,9.2,8.4
Smoothed unemployment rate (%),Cessnock Region,106011109,4.6,4.7,4.5,4.1
Smoothed unemployment rate (%),Dungog,106011110,4.1,4,3.8,3.5
Smoothed unemployment rate (%),Kurri Kurri - Abermain,106011111,8.3,8.5,8.3,7.7
Smoothed unemployment rate (%),Singleton,106011112,4.8,4.9,4.8,4.4
Smoothed unemployment rate (%),Singleton Region,106011113,3.1,2.9,2.7,2.4
Smoothed unemployment rate (%),Maitland,106021114,6.1,6.2,6.1,5.7
Smoothed unemployment rate (%),Maitland - East,106021115,4.9,5,4.9,4.5
Smoothed unemployment rate (%),Maitland - North,106021116,1.8,1.9,1.8,1.7
Smoothed unemployment rate (%),Maitland - West,106021117,5.4,5.5,5.4,4.9
Smoothed unemployment rate (%),Thornton - Millers Forest,106021118,2.6,2.7,2.6,2.4
Smoothed unemployment rate (%),Anna Bay,106031119,4.7,4.9,4.8,4.3
Smoothed unemployment rate (%),Lemon Tree Passage - Tanilba Bay,106031120,8.1,7.8,7.6,7.1
Smoothed unemployment rate (%),Nelson Bay Peninsula,106031121,4.8,4.8,4.6,4.2
Smoothed unemployment rate (%),Raymond Terrace,106031122,9.9,10.2,10,9.3
Smoothed unemployment rate (%),Seaham - Woodville,106031123,1.6,1.7,1.7,1.6
Smoothed unemployment rate (%),Tea Gardens - Hawks Nest,106031124,5.7,5.9,5.9,5.5
Smoothed unemployment rate (%),Williamtown - Medowie - Karuah,106031125,3.8,3.9,3.9,3.6
Smoothed unemployment rate (%),Muswellbrook,106041126,8.8,8.9,8.7,8
Smoothed unemployment rate (%),Muswellbrook Region,106041127,3.1,2.9,2.7,2.6
Smoothed unemployment rate (%),Scone,106041128,3.3,3.2,3.1,2.8
Smoothed unemployment rate (%),Scone Region,106041129,3.5,3.6,3.6,3.5
Smoothed unemployment rate (%),Dapto - Avondale,107011131,6.5,6.7,7.3,7.2
Smoothed unemployment rate (%),Horsley - Kembla Grange,107011132,2.4,2.7,3.1,3.2
Smoothed unemployment rate (%),Unanderra - Mount Kembla,107011134,4,4.1,4.4,4.3
Smoothed unemployment rate (%),Berkeley - Lake Heights - Cringila,107011545,0,0,0,0
Smoothed unemployment rate (%),Port Kembla - Warrawong,107011546,0,0,0,0
Smoothed unemployment rate (%),Windang - Primbee,107011547,0,0,0,0
Smoothed unemployment rate (%),Albion Park - Macquarie Pass,107031136,3.3,3.4,3.8,3.8
Smoothed unemployment rate (%),Albion Park Rail,107031137,6.3,6.6,7.4,7.6
Smoothed unemployment rate (%),Kiama,107031138,2.8,2.9,3.1,2.9
Smoothed unemployment rate (%),Kiama Downs - Minnamurra,107031139,2.2,2.3,2.5,2.4
Smoothed unemployment rate (%),Kiama Hinterland - Gerringong,107031140,1.3,1.4,1.6,1.6
Smoothed unemployment rate (%),Shellharbour - Flinders,107031141,2.7,2.8,3.1,3.1
Smoothed unemployment rate (%),Shellharbour - Oak Flats,107031142,5,5.2,5.7,5.7
Smoothed unemployment rate (%),Warilla,107031143,9.4,9.8,11.2,11.5
Smoothed unemployment rate (%),Balgownie - Fairy Meadow,107041144,3.9,3.9,4.2,4.2
Smoothed unemployment rate (%),Corrimal - Tarrawanna - Bellambi,107041145,6.4,6.6,7.4,7.4
Smoothed unemployment rate (%),Figtree - Keiraville,107041146,3.4,3.5,4,4
Smoothed unemployment rate (%),Helensburgh,107041147,1.2,1.2,1.2,1.1
Smoothed unemployment rate (%),Thirroul - Austinmer - Coalcliff,107041148,1.8,1.7,1.8,1.9
Smoothed unemployment rate (%),Woonona - Bulli - Russell Vale,107041150,3,3,3.2,3.1
Smoothed unemployment rate (%),Wollongong - East,107041548,0,0,0,0
Smoothed unemployment rate (%),Wollongong - West,107041549,0,0,0,0
Smoothed unemployment rate (%),Bulahdelah - Stroud,108011151,3.4,3.5,3.8,3.8
Smoothed unemployment rate (%),Forster,108011152,5.7,5.9,6.7,6.8
Smoothed unemployment rate (%),Forster-Tuncurry Region,108011153,5.7,5.7,6.1,6
Smoothed unemployment rate (%),Tuncurry,108011154,6.8,6.9,7.8,8
Smoothed unemployment rate (%),Kempsey,108021155,9.1,9.5,10.4,10.2
Smoothed unemployment rate (%),Kempsey Region,108021156,5.3,5.4,5.8,5.7
Smoothed unemployment rate (%),Macksville - Scotts Head,108021157,6.9,7.1,7.8,7.8
Smoothed unemployment rate (%),Nambucca Heads,108021158,10,10.3,11.4,11.5
Smoothed unemployment rate (%),Nambucca Heads Region,108021159,5.9,6,6.4,6.5
Smoothed unemployment rate (%),South West Rocks,108021160,5.3,5.5,6.2,6.2
Smoothed unemployment rate (%),Lord Howe Island,108031161,0,0,0,0
Smoothed unemployment rate (%),Laurieton - Bonny Hills,108041162,4.3,4.4,4.8,4.8
Smoothed unemployment rate (%),Port Macquarie - East,108041163,3.2,3.3,3.6,3.6
Smoothed unemployment rate (%),Port Macquarie - West,108041164,4.9,5.2,5.7,5.7
Smoothed unemployment rate (%),Port Macquarie Region,108041165,3.3,3.3,3.6,3.6
Smoothed unemployment rate (%),Wauchope,108041166,4.1,4.3,4.9,5
Smoothed unemployment rate (%),Gloucester,108051167,4.2,4.1,4.4,4.3
Smoothed unemployment rate (%),Old Bar - Manning Point - Red Head,108051168,3.7,3.8,4.2,4.2
Smoothed unemployment rate (%),Taree,108051169,8.5,8.8,9.7,9.9
Smoothed unemployment rate (%),Taree Region,108051170,5.3,5.2,5.5,5.5
Smoothed unemployment rate (%),Wingham,108051171,6.7,6.8,7.4,7
Smoothed unemployment rate (%),Albury - East,109011172,3.5,3.3,3.1,2.7
Smoothed unemployment rate (%),Albury - North,109011173,10.5,9.7,9.5,8.4
Smoothed unemployment rate (%),Albury - South,109011174,7.9,7.2,7,6.1
Smoothed unemployment rate (%),Albury Region,109011175,3.2,2.9,2.9,2.8
Smoothed unemployment rate (%),Lavington,109011176,11.5,10.4,10.2,8.9
Smoothed unemployment rate (%),Hay,109021177,5.5,4.9,4.6,4
Smoothed unemployment rate (%),Wentworth - Buronga,109021178,9.7,8.7,8.4,7.1
Smoothed unemployment rate (%),Wentworth-Balranald Region,109021179,3.1,2.8,2.6,2.2
Smoothed unemployment rate (%),Corowa,109031180,6.4,5.6,5.1,4.3
Smoothed unemployment rate (%),Corowa Region,109031181,4.7,4.3,4.2,3.6
Smoothed unemployment rate (%),Deniliquin,109031182,6.9,6.4,6.5,5.9
Smoothed unemployment rate (%),Deniliquin Region,109031183,4,3.5,3.3,2.7
Smoothed unemployment rate (%),Moama,109031184,3,2.7,2.6,2.3
Smoothed unemployment rate (%),Tocumwal - Finley - Jerilderie,109031185,4.4,3.8,3.5,3.1
Smoothed unemployment rate (%),Armidale,110011186,6.5,5.4,4.7,4.5
Smoothed unemployment rate (%),Armidale Region - North,110011187,5.1,4.3,3.6,3.4
Smoothed unemployment rate (%),Armidale Region - South,110011188,3.6,2.8,2.3,2.2
Smoothed unemployment rate (%),Walcha,110011189,4.3,3.4,2.6,2.3
Smoothed unemployment rate (%),Glen Innes,110021190,9.6,7.7,6.6,6.3
Smoothed unemployment rate (%),Inverell,110021191,8.3,6.9,5.9,5.6
Smoothed unemployment rate (%),Inverell Region - East,110021192,8.1,6.6,5.6,5.2
Smoothed unemployment rate (%),Inverell Region - West,110021193,5,4.1,3.6,3.6
Smoothed unemployment rate (%),Tenterfield,110021194,8.8,7,5.7,5.6
Smoothed unemployment rate (%),Moree,110031195,9.8,7.9,6.7,6.3
Smoothed unemployment rate (%),Moree Region,110031196,5.7,4.7,3.9,3.6
Smoothed unemployment rate (%),Narrabri,110031197,5.9,4.9,4.1,4
Smoothed unemployment rate (%),Narrabri Region,110031198,6,5,4.5,4.4
