Data Item,Statistical Area Level 2 (SA2) (2016 ASGS),SA2 Code (2016 ASGS),Mar-19,Jun-19,Sep-19,Dec-19
Smoothed unemployment rate (%),Botany,117011321,1.9,1.9,1.8,2.1
Smoothed unemployment rate (%),Mascot - Eastlakes,117011322,2.9,2.8,2.6,3
Smoothed unemployment rate (%),Pagewood - Hillsdale - Daceyville,117011323,5.6,5.8,5.8,6.8
Smoothed unemployment rate (%),Marrickville,117021326,4.8,4.9,4.8,5.3
Smoothed unemployment rate (%),Petersham - Stanmore,117021327,3.5,3.7,3.7,4
Smoothed unemployment rate (%),Sydenham - Tempe - St Peters,117021328,3.3,3.3,3.1,3.4
Smoothed unemployment rate (%),Darlinghurst,117031329,2.6,2.6,2.6,3
Smoothed unemployment rate (%),Erskineville - Alexandria,117031330,1.4,1.5,1.6,1.8
Smoothed unemployment rate (%),Glebe - Forest Lodge,117031331,3.6,3.9,4.1,4.7
Smoothed unemployment rate (%),Newtown - Camperdown - Darlington,117031332,2.1,2.1,2,2.3
Smoothed unemployment rate (%),Potts Point - Woolloomooloo,117031333,2,2,2,2.2
Smoothed unemployment rate (%),Pyrmont - Ultimo,117031334,1.5,1.6,1.6,1.7
Smoothed unemployment rate (%),Redfern - Chippendale,117031335,3.9,3.9,3.8,4.2
Smoothed unemployment rate (%),Surry Hills,117031336,4.2,4.2,4.2,4.6
Smoothed unemployment rate (%),Sydney - Haymarket - The Rocks,117031337,0.9,0.9,0.9,1
Smoothed unemployment rate (%),Waterloo - Beaconsfield,117031338,2.8,3,3.1,3.5
Smoothed unemployment rate (%),Bondi - Tamarama - Bronte,118011339,3.1,3,2.7,2.7
Smoothed unemployment rate (%),Bondi Beach - North Bondi,118011340,2.3,2.2,1.9,1.9
Smoothed unemployment rate (%),Bondi Junction - Waverly,118011341,3.2,3.1,2.6,2.7
Smoothed unemployment rate (%),Double Bay - Bellevue Hill,118011343,1.8,1.7,1.5,1.5
Smoothed unemployment rate (%),Dover Heights,118011344,2.5,2.4,2.1,2.2
Smoothed unemployment rate (%),Paddington - Moore Park,118011345,2.2,2,1.7,1.9
Smoothed unemployment rate (%),Rose Bay - Vaucluse - Watsons Bay,118011346,1.7,1.6,1.5,1.5
Smoothed unemployment rate (%),Woollahra,118011347,2,1.9,1.6,1.6
Smoothed unemployment rate (%),Coogee - Clovelly,118021348,3.6,3.4,3,3
Smoothed unemployment rate (%),Malabar - La Perouse - Chifley,118021350,8.1,7.7,6.8,6.9
Smoothed unemployment rate (%),Kensington (NSW),118021564,0,0,0,0
Smoothed unemployment rate (%),Kingsford,118021565,0,0,0,0
Smoothed unemployment rate (%),Maroubra - North,118021566,0,0,0,0
Smoothed unemployment rate (%),Maroubra - South,118021567,0,0,0,0
Smoothed unemployment rate (%),Maroubra - West,118021568,0,0,0,0
Smoothed unemployment rate (%),Randwick - North,118021569,0,0,0,0
Smoothed unemployment rate (%),Randwick - South,118021570,0,0,0,0
Smoothed unemployment rate (%),Bass Hill - Georges Hall,119011354,10.5,10.2,9.8,9.9
Smoothed unemployment rate (%),Chullora,119011355,2,2.1,2.4,3
Smoothed unemployment rate (%),Condell Park,119011356,6.7,6.6,6.6,7.1
Smoothed unemployment rate (%),Greenacre - Mount Lewis,119011357,9.4,9.2,9,9.4
Smoothed unemployment rate (%),Padstow,119011358,4.1,4.1,4.1,4.4
Smoothed unemployment rate (%),Panania - Milperra - Picnic Point,119011359,3.6,3.4,3.3,3.4
Smoothed unemployment rate (%),Revesby,119011360,5.2,5.1,4.9,5
Smoothed unemployment rate (%),Yagoona - Birrong,119011361,9.8,9.3,8.9,9.2
Smoothed unemployment rate (%),Bankstown - North,119011571,0,0,0,0
Smoothed unemployment rate (%),Bankstown - South,119011572,0,0,0,0
Smoothed unemployment rate (%),Belmore - Belfield,119021362,6.7,6.4,6.2,6.4
Smoothed unemployment rate (%),Canterbury (South) - Campsie,119021363,4.2,4,4,4.2
Smoothed unemployment rate (%),Kingsgrove (North) - Earlwood,119021364,3,2.9,2.9,3
Smoothed unemployment rate (%),Punchbowl,119021366,10.1,9.7,9.1,9.3
Smoothed unemployment rate (%),Roselands,119021367,5.2,5.3,5.2,5.4
Smoothed unemployment rate (%),Lakemba,119021573,0,0,0,0
Smoothed unemployment rate (%),Wiley Park,119021574,0,0,0,0
Smoothed unemployment rate (%),Hurstville,119031368,3.4,3.1,3,3.1
Smoothed unemployment rate (%),Mortdale - Penshurst,119031369,2.7,2.6,2.5,2.5
Smoothed unemployment rate (%),Narwee - Beverly Hills,119031370,4.7,4.4,4.1,4.2
Smoothed unemployment rate (%),Oatley - Hurstville Grove,119031371,1.9,1.8,1.7,1.7
Smoothed unemployment rate (%),Peakhurst - Lugarno,119031372,3.2,3,2.9,3
Smoothed unemployment rate (%),Riverwood,119031373,8.6,8.6,8.6,9.3
Smoothed unemployment rate (%),South Hurstville - Blakehurst,119031374,2.5,2.3,2.3,2.4
Smoothed unemployment rate (%),Arncliffe - Bardwell Valley,119041375,2.6,2.5,2.4,2.5
Smoothed unemployment rate (%),Bexley,119041376,3.5,3.4,3.4,3.5
Smoothed unemployment rate (%),Kingsgrove (South) - Bardwell Park,119041377,3.8,3.6,3.5,3.5
Smoothed unemployment rate (%),Kogarah,119041378,1.8,1.7,1.7,1.8
Smoothed unemployment rate (%),Kogarah Bay - Carlton - Allawah,119041379,2.4,2.3,2.3,2.5
Smoothed unemployment rate (%),Monterey - Brighton-le-Sands - Kyeemagh,119041380,3.6,3.4,3.3,3.4
Smoothed unemployment rate (%),Rockdale - Banksia,119041381,2.8,2.7,2.6,2.7
Smoothed unemployment rate (%),Sans Souci - Ramsgate,119041382,3,3,3,3
Smoothed unemployment rate (%),Concord - Mortlake - Cabarita,120011383,2.2,1.8,1.5,1.3
Smoothed unemployment rate (%),Concord West - North Strathfield,120011384,1.5,1.3,1.1,1.1
Smoothed unemployment rate (%),Drummoyne - Rodd Point,120011385,1.4,1.1,1.1,1
Smoothed unemployment rate (%),Five Dock - Abbotsford,120011386,2.8,2.3,2,1.9
Smoothed unemployment rate (%),Balmain,120021387,2,1.6,1.5,1.4
Smoothed unemployment rate (%),Leichhardt - Annandale,120021388,3.5,2.8,2.4,2.2
Smoothed unemployment rate (%),Lilyfield - Rozelle,120021389,4,3.4,3.2,2.9
Smoothed unemployment rate (%),Ashfield,120031390,4.5,3.5,3,2.7
Smoothed unemployment rate (%),Burwood - Croydon,120031391,4,3.1,2.6,2.3
Smoothed unemployment rate (%),Canterbury (North) - Ashbury,120031392,3.8,3,2.5,2.2
Smoothed unemployment rate (%),Croydon Park - Enfield,120031393,4,3.3,3,2.7
Smoothed unemployment rate (%),Dulwich Hill - Lewisham,120031394,5,4.2,3.9,3.7
Smoothed unemployment rate (%),Haberfield - Summer Hill,120031395,2.7,2.2,2.1,1.9
Smoothed unemployment rate (%),Homebush,120031396,3.1,2.5,2.3,2.2
Smoothed unemployment rate (%),Strathfield,120031575,0,0,0,0
Smoothed unemployment rate (%),Strathfield South,120031576,0,0,0,0
Smoothed unemployment rate (%),Chatswood (East) - Artarmon,121011398,4.4,4.3,4.2,4.3
Smoothed unemployment rate (%),Chatswood (West) - Lane Cove North,121011399,3.4,3.4,3.5,3.5
Smoothed unemployment rate (%),Lane Cove - Greenwich,121011400,2.4,2.4,2.4,2.5
Smoothed unemployment rate (%),St Leonards - Naremburn,121011401,2.4,2.2,2.2,2.3
Smoothed unemployment rate (%),Willoughby - Castle Cove - Northbridge,121011402,3,2.9,2.9,2.9
Smoothed unemployment rate (%),Asquith - Mount Colah,121021403,5.7,5.5,5.6,5.8
Smoothed unemployment rate (%),Berowra - Brooklyn - Cowan,121021404,5.5,5.1,5.2,5.6
Smoothed unemployment rate (%),Normanhurst - Thornleigh - Westleigh,121021406,5.5,5.3,5.4,6.1
Smoothed unemployment rate (%),Hornsby - East,121021577,0,0,0,0
Smoothed unemployment rate (%),Hornsby - West,121021578,0,0,0,0
Smoothed unemployment rate (%),Waitara - Wahroonga (West),121021579,0,0,0,0
Smoothed unemployment rate (%),Gordon - Killara,121031407,2.5,2.4,2.4,2.4
Smoothed unemployment rate (%),Lindfield - Roseville,121031408,2,1.9,2,1.9
Smoothed unemployment rate (%),Pymble,121031409,2.3,2.2,2.3,2.4
Smoothed unemployment rate (%),St Ives,121031410,1.9,1.9,2,2.1
Smoothed unemployment rate (%),Turramurra,121031411,2.7,2.6,2.6,2.9
Smoothed unemployment rate (%),Wahroonga (East) - Warrawee,121031412,2.9,2.8,2.9,2.9
Smoothed unemployment rate (%),Cremorne - Cammeray,121041413,1.8,1.9,2,2.1
Smoothed unemployment rate (%),Crows Nest - Waverton,121041414,3,2.7,2.7,2.6
Smoothed unemployment rate (%),Mosman,121041415,2.3,2.2,2.3,2.4
Smoothed unemployment rate (%),Neutral Bay - Kirribilli,121041416,3,2.9,2.9,3
Smoothed unemployment rate (%),North Sydney - Lavender Bay,121041417,2.4,2.5,2.6,2.7
Smoothed unemployment rate (%),Balgowlah - Clontarf - Seaforth,122011418,2,2.3,2.5,3.1
Smoothed unemployment rate (%),Manly - Fairlight,122011419,1.8,2,2.2,2.8
Smoothed unemployment rate (%),Avalon - Palm Beach,122021420,1.8,1.9,2.1,2.6
Smoothed unemployment rate (%),Bayview - Elanora Heights,122021421,2.1,2.6,3,3.8
Smoothed unemployment rate (%),Newport - Bilgola,122021422,2.5,2.9,3.2,3.8
Smoothed unemployment rate (%),Warriewood - Mona Vale,122021423,2.1,2.2,2.4,2.9
Smoothed unemployment rate (%),Beacon Hill - Narraweena,122031424,4.1,4.7,5.2,6.7
Smoothed unemployment rate (%),Cromer,122031425,2.6,2.7,3.1,4.1
Smoothed unemployment rate (%),Dee Why - North Curl Curl,122031426,3.7,4.2,4.9,6.5
Smoothed unemployment rate (%),Forestville - Killarney Heights,122031427,1.7,1.9,2.1,2.8
Smoothed unemployment rate (%),Frenchs Forest - Belrose,122031428,2.2,2.4,2.5,2.9
Smoothed unemployment rate (%),Freshwater - Brookvale,122031429,2.2,2.4,2.8,3.5
Smoothed unemployment rate (%),Manly Vale - Allambie Heights,122031430,2.5,2.8,3.1,4.1
Smoothed unemployment rate (%),Narrabeen - Collaroy,122031431,2.6,2.8,3.1,3.8
Smoothed unemployment rate (%),Terrey Hills - Duffys Forest,122031432,2.6,2.5,2.4,2.9
Smoothed unemployment rate (%),Camden - Ellis Lane,123011433,1.8,1.9,2,2
Smoothed unemployment rate (%),Elderslie - Harrington Park,123011434,2,2,2.1,2.1
Smoothed unemployment rate (%),Mount Annan - Currans Hill,123011435,2.4,2.6,2.7,2.7
Smoothed unemployment rate (%),Bradbury - Wedderburn,123021436,9.2,9.4,9.8,9.8
Smoothed unemployment rate (%),Campbelltown - Woodbine,123021437,6.9,7.1,7.7,8
Smoothed unemployment rate (%),Claymore - Eagle Vale - Raby,123021438,6.5,6.7,7,7.2
Smoothed unemployment rate (%),Ingleburn - Denham Court,123021440,4.1,4.2,4.6,4.8
Smoothed unemployment rate (%),Leumeah - Minto Heights,123021441,6.2,6.5,6.7,6.7
Smoothed unemployment rate (%),Macquarie Fields - Glenfield,123021442,6.1,6.2,6.6,6.8
Smoothed unemployment rate (%),Minto - St Andrews,123021443,5.4,5.5,5.8,5.8
Smoothed unemployment rate (%),Rosemeadow - Glen Alpine,123021444,6.3,6.5,6.9,7.1
Smoothed unemployment rate (%),Bargo,123031445,3.3,3.3,3.4,3.4
Smoothed unemployment rate (%),Douglas Park - Appin,123031446,1.7,1.7,1.7,1.7
Smoothed unemployment rate (%),Picton - Tahmoor - Buxton,123031447,3.6,3.8,4,4
Smoothed unemployment rate (%),The Oaks - Oakdale,123031448,2,1.9,1.9,1.9
Smoothed unemployment rate (%),Blackheath - Megalong Valley,124011449,4.1,4.9,5.7,6
Smoothed unemployment rate (%),Blaxland - Warrimoo - Lapstone,124011450,1.7,2,2.2,2.4
Smoothed unemployment rate (%),Katoomba - Leura,124011452,6,6.9,7.5,8.1
Smoothed unemployment rate (%),Lawson - Hazelbrook - Linden,124011453,2.9,3.4,3.8,4.1
Smoothed unemployment rate (%),Springwood - Winmalee,124011454,1.6,1.9,2.1,2.4
Smoothed unemployment rate (%),Wentworth Falls,124011455,2.8,3.4,4,4.4
Smoothed unemployment rate (%),Cambridge Park,124031457,3.4,4,4.5,4.9
Smoothed unemployment rate (%),Castlereagh - Cranebrook,124031458,2.9,3.4,3.8,4.3
Smoothed unemployment rate (%),Emu Plains - Leonay,124031459,1.8,2,2.3,2.7
Smoothed unemployment rate (%),Glenmore Park - Regentville,124031460,1.4,1.7,1.8,1.9
Smoothed unemployment rate (%),Jamisontown - South Penrith,124031461,3.3,4,4.4,4.8
Smoothed unemployment rate (%),Kingswood - Werrington,124031462,5.3,6.4,7.1,7.8
Smoothed unemployment rate (%),Mulgoa - Luddenham - Orchard Hills,124031463,1.1,1.3,1.4,1.5
Smoothed unemployment rate (%),Penrith,124031464,7.5,9.2,10.5,11.9
Smoothed unemployment rate (%),Warragamba - Silverdale,124031465,1.3,1.7,2,2.2
Smoothed unemployment rate (%),Richmond - Clarendon,124041466,3.5,4.1,4.7,5.4
Smoothed unemployment rate (%),Windsor - Bligh Park,124041467,4.2,5,5.5,6
Smoothed unemployment rate (%),Yarramundi - Londonderry,124041468,2.5,3,3.7,4.3
Smoothed unemployment rate (%),Erskine Park,124051469,1.6,2,2.4,2.7
Smoothed unemployment rate (%),St Clair,124051470,2.3,2.7,3.1,3.4
Smoothed unemployment rate (%),Colyton - Oxley Park,124051580,0,0,0,0
Smoothed unemployment rate (%),St Marys - North St Marys,124051581,0,0,0,0
Smoothed unemployment rate (%),Homebush Bay - Silverwater,125011473,2.1,2.2,2.3,2.3
Smoothed unemployment rate (%),Auburn - Central,125011582,0,0,0,0
Smoothed unemployment rate (%),Auburn - North,125011583,0,0,0,0
Smoothed unemployment rate (%),Auburn - South,125011584,0,0,0,0
Smoothed unemployment rate (%),Berala,125011585,0,0,0,0
Smoothed unemployment rate (%),Lidcombe,125011586,0,0,0,0
Smoothed unemployment rate (%),Regents Park,125011587,0,0,0,0
Smoothed unemployment rate (%),Carlingford,125021476,2.4,2.4,2.4,2.4
Smoothed unemployment rate (%),Ermington - Rydalmere,125021477,5.8,6.2,6.3,6.2
Smoothed unemployment rate (%),Oatlands - Dundas Valley,125021478,6,6.2,6.1,5.8
Smoothed unemployment rate (%),Chester Hill - Sefton,125031479,11.6,11.9,11.8,11.6
Smoothed unemployment rate (%),Fairfield - East,125031480,18.6,18.6,18.2,17.7
Smoothed unemployment rate (%),Granville - Clyde,125031481,8.7,8.8,8.6,8.4
Smoothed unemployment rate (%),Greystanes - Pemulwuy,125031482,4.4,4.6,4.6,4.5
Smoothed unemployment rate (%),Guildford - South Granville,125031483,16.3,16.7,16.3,15.9
Smoothed unemployment rate (%),Guildford West - Merrylands West,125031484,11.9,12,11.6,11.1
Smoothed unemployment rate (%),Merrylands - Holroyd,125031485,10,10.3,10.2,10
Smoothed unemployment rate (%),North Parramatta,125041489,4.9,5.1,5,4.9
Smoothed unemployment rate (%),North Rocks,125041490,1.4,1.6,1.8,1.9
Smoothed unemployment rate (%),Northmead,125041491,3.1,3.1,3.2,3
Smoothed unemployment rate (%),Parramatta - Rosehill,125041492,4.8,4.8,4.7,4.5
Smoothed unemployment rate (%),Toongabbie - Constitution Hill,125041493,5.7,5.9,5.9,5.6
Smoothed unemployment rate (%),Winston Hills,125041494,2.6,2.6,2.5,2.7
Smoothed unemployment rate (%),Pendle Hill - Girraween,125041588,0,0,0,0
Smoothed unemployment rate (%),Wentworthville - Westmead,125041589,0,0,0,0
Smoothed unemployment rate (%),Epping - North Epping,126011495,2.9,3,3.3,3.4
Smoothed unemployment rate (%),Pennant Hills - Cheltenham,126011496,3.1,3.4,3.8,3.8
Smoothed unemployment rate (%),Eastwood - Denistone,126021497,4.4,4.6,5.1,5.2
Smoothed unemployment rate (%),Gladesville - Huntleys Point,126021498,2.9,3,3.4,3.7
Smoothed unemployment rate (%),Hunters Hill - Woolwich,126021499,2.9,3,3.2,3.3
Smoothed unemployment rate (%),Macquarie Park - Marsfield,126021500,3.1,3.2,3.5,3.6
Smoothed unemployment rate (%),North Ryde - East Ryde,126021501,4,4.2,4.5,4.5
Smoothed unemployment rate (%),West Ryde - Meadowbank,126021503,3.9,4,4.5,4.7
Smoothed unemployment rate (%),Putney,126021590,0,0,0,0
Smoothed unemployment rate (%),Ryde,126021591,0,0,0,0
Smoothed unemployment rate (%),Ashcroft - Busby - Miller,127011504,15.5,14.6,14.1,14.6
Smoothed unemployment rate (%),Austral - Greendale,127011505,0,0,0,0
Smoothed unemployment rate (%),Cobbitty - Leppington,127011506,1.8,1.9,2,2.1
Smoothed unemployment rate (%),Cecil Hills,127011593,0,0,0,0
Smoothed unemployment rate (%),Green Valley,127011594,0,0,0,0
Smoothed unemployment rate (%),Hinchinbrook,127011595,0,0,0,0
Smoothed unemployment rate (%),Hoxton Park - Carnes Hill - Horningsea Park,127011596,0,0,0,0
Smoothed unemployment rate (%),West Hoxton - Middleton Grange,127011597,0,0,0,0
Smoothed unemployment rate (%),Bonnyrigg Heights - Bonnyrigg,127021509,7.1,6.8,6.6,6.9
Smoothed unemployment rate (%),Bossley Park - Abbotsbury,127021510,5.5,5.3,5.3,5.5
Smoothed unemployment rate (%),Cabramatta - Lansvale,127021511,7.7,7.1,6.9,7.2
Smoothed unemployment rate (%),Cabramatta West - Mount Pritchard,127021512,7.8,7.4,7.2,7.5
Smoothed unemployment rate (%),Canley Vale - Canley Heights,127021513,8.3,7.5,7.1,7.4
Smoothed unemployment rate (%),Edensor Park,127021514,6.5,6.1,6.1,6.2
Smoothed unemployment rate (%),Fairfield,127021515,18.6,17.4,17,17.6
Smoothed unemployment rate (%),Fairfield - West,127021516,12.4,11.8,11.7,12.2
Smoothed unemployment rate (%),Greenfield Park - Prairiewood,127021517,6.7,6.4,6.5,7
Smoothed unemployment rate (%),Horsley Park - Kemps Creek,127021518,1.9,1.8,1.9,2.2
Smoothed unemployment rate (%),Smithfield - Wetherill Park,127021519,9.3,8.8,8.8,9.4
Smoothed unemployment rate (%),St Johns Park - Wakeley,127021520,6.2,5.8,5.7,6.1
Smoothed unemployment rate (%),Casula,127031522,4.7,4.4,4.3,4.4
Smoothed unemployment rate (%),Chipping Norton - Moorebank,127031523,2.2,2,2,2
Smoothed unemployment rate (%),Holsworthy - Wattle Grove,127031524,1.3,1.3,1.3,1.4
Smoothed unemployment rate (%),Liverpool,127031598,0,0,0,0
Smoothed unemployment rate (%),Lurnea - Cartwright,127031599,0,0,0,0
Smoothed unemployment rate (%),Prestons - Edmondson Park,127031600,0,0,0,0
Smoothed unemployment rate (%),Warwick Farm,127031601,0,0,0,0
Smoothed unemployment rate (%),Gymea - Grays Point,128011529,1.4,1.5,1.5,1.6
Smoothed unemployment rate (%),Miranda - Yowie Bay,128011530,2.9,3.2,3.5,3.8
Smoothed unemployment rate (%),Sylvania - Taren Point,128011531,2.4,2.5,2.6,2.8
Smoothed unemployment rate (%),Caringbah,128011602,0,0,0,0
Smoothed unemployment rate (%),Caringbah South,128011603,0,0,0,0
Smoothed unemployment rate (%),Cronulla - Kurnell - Bundeena,128011604,0,0,0,0
Smoothed unemployment rate (%),Lilli Pilli - Port Hacking - Dolans Bay,128011605,0,0,0,0
Smoothed unemployment rate (%),Woolaware - Burraneer,128011606,0,0,0,0
Smoothed unemployment rate (%),Heathcote - Waterfall,128021533,2.1,2.1,2.3,2.5
Smoothed unemployment rate (%),Illawong - Alfords Point,128021534,1.1,1.2,1.2,1.4
Smoothed unemployment rate (%),Menai - Lucas Heights - Woronora,128021535,1.7,1.7,1.7,1.8
Smoothed unemployment rate (%),Oyster Bay - Como - Jannali,128021536,1.8,1.8,1.9,2.1
Smoothed unemployment rate (%),Sutherland - Kirrawee,128021538,3.6,3.8,3.9,4.1
Smoothed unemployment rate (%),Engadine,128021607,0,0,0,0
Smoothed unemployment rate (%),Loftus - Yarrawarrah,128021608,0,0,0,0
Smoothed unemployment rate (%),Woronora Heights,128021609,0,0,0,0
Smoothed unemployment rate (%),Alfredton,201011001,2,1.8,1.7,1.6
Smoothed unemployment rate (%),Ballarat,201011002,3.9,3.6,3.6,3.3
Smoothed unemployment rate (%),Ballarat - North,201011003,3.9,3.6,3.5,3.2
Smoothed unemployment rate (%),Ballarat - South,201011004,6.7,6,5.9,5.3
Smoothed unemployment rate (%),Buninyong,201011005,1.9,1.7,1.8,1.6
Smoothed unemployment rate (%),Delacombe,201011006,4,3.7,3.7,3.4
Smoothed unemployment rate (%),Smythes Creek,201011007,1.8,1.7,1.8,1.6
Smoothed unemployment rate (%),Wendouree - Miners Rest,201011008,7.3,6.7,6.6,5.9
Smoothed unemployment rate (%),Bacchus Marsh Region,201021009,2.5,2.2,2.1,1.9
Smoothed unemployment rate (%),Creswick - Clunes,201021010,3.9,3.7,3.8,3.4
Smoothed unemployment rate (%),Daylesford,201021011,2.8,2.5,2.5,2.3
Smoothed unemployment rate (%),Gordon (Vic.),201021012,2.5,2.3,2.3,2.1
Smoothed unemployment rate (%),Avoca,201031013,5.3,5,5.4,5.1
Smoothed unemployment rate (%),Beaufort,201031014,4.2,4,4.3,4.1
Smoothed unemployment rate (%),Golden Plains - North,201031015,4.2,4,4.1,3.8
Smoothed unemployment rate (%),Maryborough (Vic.),201031016,8.6,8,8.1,7.4
Smoothed unemployment rate (%),Maryborough Region,201031017,6.6,6.2,6.6,6.2
Smoothed unemployment rate (%),Bendigo,202011018,7.4,6.2,6.5,6.9
Smoothed unemployment rate (%),California Gully - Eaglehawk,202011019,6.4,5.4,5.8,6.4
Smoothed unemployment rate (%),East Bendigo - Kennington,202011020,3.7,3.1,3.3,3.6
Smoothed unemployment rate (%),Flora Hill - Spring Gully,202011021,4.3,3.6,3.6,3.9
Smoothed unemployment rate (%),Kangaroo Flat - Golden Square,202011022,5.1,4.2,4.3,4.4
Smoothed unemployment rate (%),Maiden Gully,202011023,1.3,1.1,1.1,1.3
Smoothed unemployment rate (%),Strathfieldsaye,202011024,1.3,1.1,1.1,1.2
Smoothed unemployment rate (%),White Hills - Ascot,202011025,3.3,2.8,2.9,3.1
Smoothed unemployment rate (%),Bendigo Region - South,202021026,1.9,1.6,1.7,1.8
Smoothed unemployment rate (%),Castlemaine,202021027,3.5,2.9,2.9,3
Smoothed unemployment rate (%),Castlemaine Region,202021028,2.9,2.5,2.6,2.9
Smoothed unemployment rate (%),Heathcote,202021029,5,4.4,5.2,5.9
Smoothed unemployment rate (%),Kyneton,202021030,2.2,1.8,1.9,2
Smoothed unemployment rate (%),Woodend,202021031,1.5,1.3,1.3,1.3
Smoothed unemployment rate (%),Bendigo Region - North,202031032,3.1,2.7,3,3.3
Smoothed unemployment rate (%),Loddon,202031033,5.2,4.7,5.2,5.4
Smoothed unemployment rate (%),Bannockburn,203011034,2.5,2.4,2.1,1.8
Smoothed unemployment rate (%),Golden Plains - South,203011035,4,3.9,3.5,2.8
Smoothed unemployment rate (%),Winchelsea,203011036,3.7,3.7,3.2,2.6
Smoothed unemployment rate (%),Belmont,203021037,6,5.7,4.9,4
Smoothed unemployment rate (%),Corio - Norlane,203021038,21.8,21.3,18.7,15.3
Smoothed unemployment rate (%),Geelong,203021039,8.2,7.9,6.9,5.5
Smoothed unemployment rate (%),Geelong West - Hamlyn Heights,203021040,5.2,5.1,4.5,3.6
Smoothed unemployment rate (%),Grovedale,203021041,3.9,3.9,3.5,3.1
Smoothed unemployment rate (%),Highton,203021042,2.4,2.3,2.1,1.7
Smoothed unemployment rate (%),Lara,203021043,4.6,4.6,4.2,3.6
Smoothed unemployment rate (%),Leopold,203021044,4.2,4.1,3.7,3.1
Smoothed unemployment rate (%),Newcomb - Moolap,203021045,12.8,12.7,11.4,9.3
Smoothed unemployment rate (%),Newtown (Vic.),203021046,3,3,2.6,2.2
Smoothed unemployment rate (%),North Geelong - Bell Park,203021047,8.2,8,7.2,5.9
Smoothed unemployment rate (%),Clifton Springs,203031048,6,6,5.4,4.6
Smoothed unemployment rate (%),Lorne - Anglesea,203031049,2.2,2.2,2,1.6
Smoothed unemployment rate (%),Ocean Grove - Barwon Heads,203031050,2.8,2.8,2.6,2.2
Smoothed unemployment rate (%),Portarlington,203031051,10.2,10.2,9.1,7.5
Smoothed unemployment rate (%),Point Lonsdale - Queenscliff,203031052,3.9,3.5,2.9,2.3
Smoothed unemployment rate (%),Torquay,203031053,1.8,1.8,1.7,1.4
Smoothed unemployment rate (%),Alexandra,204011054,2.6,2.6,2.7,3.2
Smoothed unemployment rate (%),Euroa,204011055,3.1,3.1,3.3,3.7
Smoothed unemployment rate (%),Kilmore - Broadford,204011056,3.2,3.1,3.1,3.6
Smoothed unemployment rate (%),Mansfield (Vic.),204011057,2,1.9,1.9,2.3
Smoothed unemployment rate (%),Nagambie,204011058,2.9,2.8,3,3.2
Smoothed unemployment rate (%),Seymour,204011059,6.8,6.5,6.6,7.5
Smoothed unemployment rate (%),Seymour Region,204011060,1.6,1.5,1.6,1.9
Smoothed unemployment rate (%),Yea,204011062,3.7,3.8,3.9,4.6
Smoothed unemployment rate (%),Benalla,204021063,5.3,5.2,5.5,6
Smoothed unemployment rate (%),Benalla Region,204021064,2.6,2.5,2.6,2.9
Smoothed unemployment rate (%),Rutherglen,204021065,2.7,2.6,2.6,2.8
Smoothed unemployment rate (%),Wangaratta,204021066,4.5,4.3,4.4,4.9
Smoothed unemployment rate (%),Wangaratta Region,204021067,1.8,1.8,1.9,2.2
Smoothed unemployment rate (%),Beechworth,204031068,2.6,2.4,2.4,2.4
Smoothed unemployment rate (%),Bright - Mount Beauty,204031069,1.8,1.7,1.7,1.9
Smoothed unemployment rate (%),Chiltern - Indigo Valley,204031070,3.1,3.2,3.4,3.8
Smoothed unemployment rate (%),Myrtleford,204031071,2.9,2.8,2.9,3.3
Smoothed unemployment rate (%),Towong,204031072,3.3,3.2,3.4,3.8
Smoothed unemployment rate (%),West Wodonga,204031073,4.1,4.1,4.3,4.7
Smoothed unemployment rate (%),Wodonga,204031074,4.6,4.4,4.6,5.2
Smoothed unemployment rate (%),Yackandandah,204031075,1.7,1.6,1.6,1.8
Smoothed unemployment rate (%),Drouin,205011076,4,3.1,2.8,2.8
Smoothed unemployment rate (%),Mount Baw Baw Region,205011077,2.8,2.1,1.9,1.9
Smoothed unemployment rate (%),Trafalgar (Vic.),205011078,3,2.2,2,1.9
Smoothed unemployment rate (%),Warragul,205011079,3.3,2.6,2.4,2.5
Smoothed unemployment rate (%),Bairnsdale,205021081,6.7,5.2,4.8,4.8
Smoothed unemployment rate (%),Bruthen - Omeo,205021082,3.5,2.7,2.4,2.5
Smoothed unemployment rate (%),Lakes Entrance,205021084,7.2,5.5,5.2,5.3
Smoothed unemployment rate (%),Orbost,205021085,7.7,6,5.7,5.8
Smoothed unemployment rate (%),Paynesville,205021086,4.9,3.8,3.7,4
Smoothed unemployment rate (%),Foster,205031087,3,2.3,2.1,2.1
Smoothed unemployment rate (%),Korumburra,205031089,3.6,2.8,2.5,2.5
Smoothed unemployment rate (%),Leongatha,205031090,2.7,2.2,2,2
Smoothed unemployment rate (%),Phillip Island,205031091,4,3.1,2.9,2.9
Smoothed unemployment rate (%),Wonthaggi - Inverloch,205031093,5.2,4.1,4,4
Smoothed unemployment rate (%),Churchill,205041094,5.2,4,3.8,3.8
Smoothed unemployment rate (%),Moe - Newborough,205041095,9.7,7.5,7,6.8
Smoothed unemployment rate (%),Morwell,205041096,14,10.8,10.1,9.9
Smoothed unemployment rate (%),Traralgon,205041097,4.7,3.6,3.4,3.3
Smoothed unemployment rate (%),Yallourn North - Glengarry,205041098,3.3,2.5,2.5,2.7
