sa2_maincode_2016,tot_p_p,age_20_24_yr_p,age_25_34_yr_p,age_35_44_yr_p,age_45_54_yr_p,age_55_64_yr_p,age_65_74_yr_p,age_75_84_yr_p,age_85ov_p,indigenous_p_tot_p,birthplace_australia_p,lang_spoken_home_eng_only_p,high_yr_schl_comp_yr_12_eq_p,age_20_24_percent,age_25_34_percent,age_35_44_percent,age_45_54_percent,age_55_64_percent,age_65_74_percent,age_75_84_percent,age_85ov_percent,indigenous_percent,birthplace_australia_percent,lang_eng_only_percent,high_yr_12_comp_percent
101021007,3872,110,297,442,577,696,592,243,77,75,2948,3300,1402,0.028409090909090908,0.07670454545454546,0.11415289256198347,0.1490185950413223,0.1797520661157025,0.15289256198347106,0.06275826446280992,0.019886363636363636,0.019369834710743803,0.7613636363636364,0.8522727272727273,0.36208677685950413
101021008,8247,534,1089,1110,1196,1050,664,313,83,506,6354,6649,3110,0.06475081847944707,0.13204801746089487,0.1345943979628956,0.14502243239966048,0.12731902510003637,0.08051412634897538,0.03795319510124894,0.010064265793621923,0.061355644476779436,0.7704619861767915,0.8062325694191828,0.37710682672486967
101021009,10842,762,2239,1556,1386,1127,819,525,314,320,7273,7719,4788,0.07028223574986164,0.2065117137059583,0.14351595646559676,0.12783619258439402,0.10394761114185574,0.07553956834532374,0.048422800221361376,0.02896144622763328,0.029514849658734552,0.6708171923999262,0.7119535141117875,0.4416159380188157
101021010,4786,359,973,637,702,569,312,160,51,176,3291,3516,2338,0.07501044713748432,0.20330129544504805,0.1330965315503552,0.14667781027998328,0.11888842457166736,0.0651901379022148,0.03343083994985374,0.01065608023401588,0.03677392394483912,0.6876305892185541,0.734642707898036,0.4885081487672378
101021011,16946,795,1741,2397,2934,2427,1436,408,86,336,13040,14364,7632,0.046913725953027265,0.10273810928832763,0.1414493095715803,0.17313820370588928,0.14321963885282663,0.0847397615956568,0.024076478224949842,0.005074943939572761,0.01982768794995869,0.7695031275817302,0.8476336598607341,0.45037176914906174
101021012,12643,727,1461,1906,2381,1308,597,257,74,342,10112,10783,5956,0.05750217511666535,0.1155580162936012,0.1507553586965119,0.18832555564343906,0.1034564581191173,0.04721980542592739,0.02032745392707427,0.005853041208573914,0.02705054180178755,0.7998101716364787,0.85288301827098,0.4710907221387329
101031013,2390,99,220,231,337,391,340,145,89,50,1984,2155,661,0.04142259414225941,0.09205020920502092,0.09665271966527196,0.1410041841004184,0.16359832635983262,0.14225941422594143,0.060669456066945605,0.037238493723849374,0.02092050209205021,0.8301255230125523,0.9016736401673641,0.27656903765690377
101031014,6742,356,760,751,943,907,784,523,241,216,5124,5569,2082,0.05280332245624444,0.11272619400771285,0.11139127855235835,0.13986947493325422,0.13452981311183626,0.11628596855532483,0.0775734203500445,0.03574606941560368,0.03203797092850786,0.7600118659151587,0.8260160189854643,0.30881044200533964
101031015,3280,105,218,350,540,560,477,212,48,67,2511,2883,1130,0.03201219512195122,0.06646341463414634,0.10670731707317073,0.16463414634146342,0.17073170731707318,0.14542682926829267,0.06463414634146342,0.014634146341463415,0.020426829268292684,0.7655487804878048,0.8789634146341463,0.3445121951219512
101031016,6951,478,956,987,1081,913,592,232,74,89,5354,5950,2975,0.06876708387282406,0.1375341677456481,0.1419939577039275,0.1555171917709682,0.131348007480938,0.08516760178391598,0.0333764925909941,0.010645950222989498,0.01280391310602791,0.7702488850525104,0.8559919436052367,0.42799597180261834
101041017,7692,283,656,729,868,1251,1315,701,291,595,5956,6799,2089,0.036791471658866357,0.08528341133645345,0.09477379095163807,0.11284451378055123,0.1626365054602184,0.17095683827353095,0.09113364534581384,0.03783151326053042,0.07735309412376495,0.7743109724388976,0.8839053562142486,0.2715808632345294
101041018,8358,291,576,788,1007,1370,1560,817,338,352,6358,7315,2654,0.034816941852117735,0.06891600861450108,0.09428092845178272,0.12048336922708781,0.1639148121560182,0.18664752333094042,0.0977506580521656,0.04044029672170376,0.04211533859775066,0.7607083034218712,0.8752093802345059,0.31754008135917683
101041019,8405,361,756,884,1165,1361,986,593,246,333,6906,7481,2603,0.0429506246281975,0.08994646044021416,0.10517549077929804,0.1386079714455681,0.1619274241522903,0.11731112433075551,0.07055324211778703,0.02926829268292683,0.0396192742415229,0.8216537775133849,0.8900654372397383,0.30969660916121355
101041020,8793,260,596,795,1477,1940,1214,407,100,222,7005,7988,2764,0.02956897532127829,0.06778118958262254,0.09041282838621631,0.16797452519049244,0.22063004662799954,0.13806436938473787,0.0462868190606164,0.011372682815876264,0.02524735585124531,0.7966564312521324,0.9084499033321961,0.31434095303082
101041021,3285,123,214,329,410,552,497,342,158,114,2604,2929,1182,0.03744292237442922,0.06514459665144597,0.10015220700152207,0.1248097412480974,0.1680365296803653,0.1512937595129376,0.10410958904109589,0.04809741248097413,0.034703196347031964,0.7926940639269406,0.8916286149162862,0.3598173515981735
101041022,25,0,0,3,5,3,13,0,3,0,16,19,9,0.0,0.0,0.12,0.2,0.12,0.52,0.0,0.12,0.0,0.64,0.76,0.36
101041023,3216,127,268,319,392,538,501,267,133,226,2527,2823,790,0.03949004975124378,0.08333333333333333,0.09919154228855721,0.12189054726368159,0.16728855721393035,0.15578358208955223,0.0830223880597015,0.041355721393034825,0.07027363184079602,0.7857587064676617,0.8777985074626866,0.24564676616915423
101041024,3301,137,210,312,558,652,544,163,47,277,2639,2987,1006,0.04150257497727961,0.06361708573159648,0.09451681308694335,0.16903968494395638,0.1975159042714329,0.16479854589518328,0.049378976067858224,0.014238109663738261,0.0839139654650106,0.7994547106937292,0.9048773099060891,0.3047561345046955
101041025,10618,390,747,954,1360,1821,1874,1070,438,194,8308,9507,3605,0.036730080994537576,0.07035223205876813,0.08984742889433038,0.12808438500659258,0.17150122433603315,0.17649274816349594,0.10077227349783387,0.041250706347711434,0.018270860802411,0.7824449048785082,0.8953663590129968,0.3395177999623281
101041026,7968,259,550,729,1066,1585,1370,706,215,379,6253,7205,2601,0.03250502008032129,0.06902610441767068,0.09149096385542169,0.133785140562249,0.1989206827309237,0.17193775100401607,0.08860441767068274,0.02698293172690763,0.04756526104417671,0.7847640562248996,0.9042419678714859,0.32643072289156627
101041027,8978,240,525,695,1026,1903,1832,859,410,430,6872,7905,2880,0.026732011583871687,0.058476275339719316,0.07741145021162843,0.11427934952105145,0.2119625751837826,0.20405435509022055,0.09567832479394074,0.0456671864557808,0.047894854087770104,0.7654265983515259,0.8804856315437737,0.32078413900646024
101051539,22890,1400,2997,2756,2959,2855,2346,1395,667,982,19141,19834,6491,0.06116207951070336,0.1309305373525557,0.12040192223678463,0.1292704237658366,0.12472695500218436,0.10249017038007864,0.06094364351245085,0.0291393621668851,0.04290083005679336,0.8362166885102665,0.8664919178680647,0.2835736129314111
101051540,12670,487,1008,1369,1964,2055,1743,833,224,341,10309,11274,3692,0.038437253354380425,0.07955801104972375,0.10805051302288872,0.15501183898973955,0.1621941594317285,0.13756906077348066,0.06574585635359116,0.017679558011049725,0.02691397000789266,0.8136543014996054,0.8898184688239937,0.291397000789266
101061541,6506,337,717,782,868,800,661,413,227,251,5513,5875,2275,0.051798339993851826,0.11020596372579158,0.12019674146941285,0.1334153089455887,0.12296341838303104,0.1015985244389794,0.06347986474023978,0.03489086996618506,0.03857977251767599,0.8473716569320627,0.9030126037503843,0.34967722102674453
101061542,11505,471,911,1646,1922,1687,1162,421,103,183,9384,10398,5065,0.0409387222946545,0.07918296392872665,0.14306823120382442,0.16705780095610603,0.14663189917427205,0.10099956540634507,0.03659278574532812,0.008952629291612342,0.015906127770534552,0.815645371577575,0.9037809647979139,0.44024337244676226
