sa2_maincode_2016,negative_nil_income_tot,hi_1_149_tot,hi_150_299_tot,hi_300_399_tot,hi_400_499_tot,hi_500_649_tot,hi_650_799_tot,hi_800_999_tot,hi_1000_1249_tot,hi_1250_1499_tot,hi_1500_1749_tot,hi_1750_1999_tot,hi_2000_2499_tot,hi_2500_2999_tot,hi_3000_3499_tot,hi_3500_3999_tot,hi_4000_more_tot,tot_tot,hi_negative_nil_percent,hi_1_149_percent,hi_150_299_percent,hi_300_399_percent,hi_400_499_percent,hi_500_649_percent,hi_650_799_percent,hi_800_999_percent,hi_1000_1249_percent,hi_1250_1499_percent,hi_1500_1749_percent,hi_1750_1999_percent,hi_2000_2449_percent,hi_2500_2999_percent,hi_3000_3449_percent,hi_3500_3999_percent,hi_4000_more_percent
101041017,44,23,91,119,329,226,382,280,307,275,142,124,181,90,47,30,43,3055,0.014402618657937807,0.0075286415711947625,0.029787234042553193,0.03895253682487725,0.1076923076923077,0.0739770867430442,0.12504091653027824,0.09165302782324058,0.10049099836333879,0.09001636661211129,0.04648117839607201,0.040589198036006545,0.05924713584288052,0.029459901800327332,0.015384615384615385,0.009819967266775777,0.014075286415711947
101041018,46,26,71,114,333,208,386,308,377,296,147,168,244,116,60,43,50,3314,0.01388050694025347,0.007845503922751962,0.021424260712130355,0.0343995171997586,0.10048280024140012,0.0627640313820157,0.11647555823777912,0.09293904646952324,0.11375980687990345,0.08931804465902234,0.04435727217863609,0.05069402534701267,0.07362703681351841,0.03500301750150875,0.018105009052504527,0.012975256487628244,0.015087507543753771
101041019,27,23,75,129,326,183,312,297,322,270,159,163,265,134,78,54,82,3239,0.008335906143871565,0.007100957085520223,0.02315529484408768,0.03982710713183081,0.10064834825563446,0.05649891941957394,0.09632602655140475,0.09169496758258722,0.0994133991972831,0.08335906143871566,0.049089225069465885,0.05032417412781723,0.08181537511577647,0.04137079345476999,0.024081506637851188,0.01667181228774313,0.02531645569620253
101041020,49,57,102,130,360,184,342,285,338,272,160,149,258,118,64,40,54,3395,0.01443298969072165,0.01678939617083947,0.03004418262150221,0.03829160530191458,0.10603829160530191,0.05419734904270987,0.10073637702503682,0.08394698085419734,0.0995581737849779,0.0801178203240059,0.047128129602356406,0.0438880706921944,0.0759941089837997,0.03475699558173785,0.01885125184094256,0.011782032400589101,0.015905743740795286
101041021,18,10,29,41,127,85,135,115,126,102,67,60,107,60,33,18,40,1285,0.014007782101167316,0.007782101167315175,0.022568093385214007,0.031906614785992216,0.09883268482490272,0.06614785992217899,0.10505836575875487,0.08949416342412451,0.0980544747081712,0.07937743190661478,0.052140077821011675,0.04669260700389105,0.08326848249027237,0.04669260700389105,0.025680933852140077,0.014007782101167316,0.0311284046692607
101041022,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,15,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101041023,14,10,42,75,174,71,144,113,123,103,49,53,88,40,18,6,7,1283,0.010911925175370226,0.00779423226812159,0.03273577552611068,0.05845674201091192,0.13561964146531566,0.05533904910366329,0.1122369446609509,0.08807482462977397,0.09586905689789556,0.08028059236165237,0.03819173811379579,0.041309431021044424,0.06858924395947,0.03117692907248636,0.014029618082618862,0.004676539360872954,0.005455962587685113
101041024,19,11,37,58,116,74,118,128,134,99,68,60,86,46,26,15,26,1277,0.014878621769772905,0.008613938919342208,0.028974158183241974,0.04541895066562255,0.0908379013312451,0.05794831636648395,0.09240407204385279,0.10023492560689115,0.10493343774471417,0.07752545027407988,0.05324980422866092,0.04698512137823023,0.06734534064212999,0.036021926389976505,0.020360219263899765,0.011746280344557557,0.020360219263899765
101041025,50,31,93,157,469,279,479,376,440,386,220,211,315,155,93,77,87,4340,0.01152073732718894,0.007142857142857143,0.02142857142857143,0.03617511520737327,0.10806451612903226,0.06428571428571428,0.11036866359447005,0.08663594470046083,0.10138248847926268,0.08894009216589861,0.05069124423963134,0.04861751152073733,0.07258064516129033,0.03571428571428571,0.02142857142857143,0.017741935483870968,0.020046082949308756
101041026,25,41,102,152,364,202,414,336,328,265,156,153,211,100,47,54,59,3331,0.007505253677574302,0.012308616031221855,0.030621435004503154,0.045631942359651755,0.10927649354548184,0.06064244971480036,0.12428700090063044,0.10087060942659862,0.09846892824977484,0.0795556889822876,0.046832782948063645,0.045932152506754725,0.0633443410387271,0.03002101471029721,0.014109876913839688,0.01621134794356049,0.017712398679075352
101041027,47,42,92,197,475,302,470,325,392,323,163,146,198,101,53,34,44,3785,0.012417437252311756,0.011096433289299868,0.02430647291941876,0.05204755614266843,0.12549537648612946,0.0797886393659181,0.12417437252311757,0.08586525759577279,0.1035667107001321,0.08533685601056804,0.043064729194187586,0.03857331571994716,0.052311756935270806,0.026684280052840157,0.014002642007926024,0.008982826948480845,0.011624834874504624
101051539,82,88,207,369,805,468,710,673,735,666,496,468,796,471,282,188,251,8575,0.00956268221574344,0.010262390670553935,0.024139941690962098,0.04303206997084548,0.09387755102040816,0.05457725947521866,0.08279883381924198,0.07848396501457726,0.08571428571428572,0.07766763848396502,0.057842565597667636,0.05457725947521866,0.09282798833819242,0.05492711370262391,0.0328862973760933,0.021924198250728864,0.029271137026239066
101051540,73,44,105,146,388,216,412,349,367,312,250,258,426,261,172,120,188,4602,0.015862668405041285,0.009561060408518035,0.022816166883963495,0.03172533681008257,0.08431116905693177,0.0469361147327249,0.08952629291612342,0.07583659278574532,0.07974793568013908,0.06779661016949153,0.054324206866579745,0.0560625814863103,0.09256844850065189,0.056714471968709254,0.03737505432420687,0.02607561929595828,0.04085180356366797
101061541,17,16,36,71,170,104,150,154,186,175,163,123,292,180,101,74,122,2359,0.0072064434082238235,0.006782534972445952,0.01526070368800339,0.03009749894022891,0.07206443408223824,0.04408647732089869,0.0635862653666808,0.06528189910979229,0.07884696905468419,0.07418397626112759,0.06909707503179313,0.05214073760067826,0.12378126324713862,0.07630351844001695,0.04281475201356507,0.03136922424756253,0.051716829164900384
101061542,29,10,47,50,144,111,169,188,291,245,196,196,409,307,251,231,581,3872,0.0074896694214876035,0.0025826446280991736,0.012138429752066115,0.012913223140495868,0.0371900826446281,0.028667355371900828,0.04364669421487603,0.04855371900826446,0.07515495867768596,0.06327479338842976,0.0506198347107438,0.0506198347107438,0.1056301652892562,0.07928719008264463,0.06482438016528926,0.05965909090909091,0.15005165289256198
101061543,48,43,101,155,435,262,429,340,378,292,219,219,272,148,71,51,64,3944,0.012170385395537525,0.0109026369168357,0.025608519269776878,0.03930020283975659,0.11029411764705882,0.06643002028397565,0.10877281947261663,0.08620689655172414,0.09584178498985801,0.07403651115618662,0.05552738336713996,0.05552738336713996,0.06896551724137931,0.037525354969574036,0.018002028397565924,0.01293103448275862,0.016227180527383367
101061544,40,32,70,114,330,156,334,248,235,219,154,154,193,97,62,48,85,2925,0.013675213675213675,0.01094017094017094,0.023931623931623933,0.038974358974358976,0.11282051282051282,0.05333333333333334,0.1141880341880342,0.0847863247863248,0.08034188034188035,0.07487179487179488,0.05264957264957265,0.05264957264957265,0.06598290598290599,0.03316239316239316,0.0211965811965812,0.01641025641025641,0.02905982905982906
102011028,27,18,16,44,104,94,122,119,166,167,129,152,286,213,154,120,234,2457,0.01098901098901099,0.007326007326007326,0.006512006512006512,0.01790801790801791,0.042328042328042326,0.03825803825803826,0.04965404965404965,0.04843304843304843,0.06756206756206756,0.06796906796906797,0.052503052503052504,0.06186406186406186,0.1164021164021164,0.08669108669108669,0.06267806267806268,0.04884004884004884,0.09523809523809523
102011029,43,26,68,89,277,200,338,255,298,270,210,188,386,282,173,137,297,3965,0.010844892812105928,0.006557377049180328,0.017150063051702396,0.02244640605296343,0.06986128625472887,0.05044136191677175,0.08524590163934426,0.06431273644388398,0.07515762925598991,0.06809583858764187,0.05296343001261034,0.04741488020176545,0.09735182849936948,0.07112232030264817,0.04363177805800757,0.03455233291298865,0.07490542244640605
102011030,29,7,32,44,100,67,96,101,149,120,88,107,161,81,57,65,125,1607,0.01804604853764779,0.0043559427504667085,0.019912881144990666,0.027380211574362167,0.06222775357809583,0.04169259489732421,0.059738643434972,0.06285003111387678,0.09271935283136279,0.07467330429371499,0.054760423148724334,0.06658369632856254,0.1001866832607343,0.05040448039825762,0.03546981953951462,0.04044803982576229,0.0777846919726198
102011031,55,30,78,163,472,343,426,331,381,308,240,253,454,278,212,203,389,5190,0.010597302504816955,0.005780346820809248,0.015028901734104046,0.03140655105973025,0.09094412331406551,0.06608863198458574,0.08208092485549133,0.06377649325626204,0.07341040462427746,0.05934489402697495,0.046242774566473986,0.048747591522158,0.08747591522157996,0.05356454720616571,0.04084778420038536,0.03911368015414258,0.07495183044315992
102011032,96,60,212,347,654,457,610,581,645,599,455,455,773,393,250,203,260,7778,0.012342504499871433,0.007714065312419645,0.027256364103882748,0.04461301105682695,0.08408331190537413,0.0587554641295963,0.07842633067626639,0.07469786577526356,0.08292620210851119,0.07701208536898946,0.05849832861918231,0.05849832861918231,0.09938287477500643,0.05052712779634867,0.032141938801748524,0.0260992543070198,0.03342761635381846
102011033,13,11,29,26,81,50,113,115,120,156,127,164,284,178,120,86,94,1977,0.0065756196256954984,0.00556398583712696,0.014668689934243804,0.013151239251390997,0.0409711684370258,0.025290844714213456,0.057157309054122404,0.058168942842690946,0.06069802731411229,0.07890743550834597,0.06423874557410217,0.08295397066262013,0.14365199797673242,0.0900354071825999,0.06069802731411229,0.04350025290844714,0.04754678806272129
