sa2_maincode_2016,buddhism_p,christianity_anglican_p,christianity_baptist_p,christianity_catholic_p,christianity_eastrn_orthdox_p,christianity_uniting_church_p,christianity_tot_p,hinduism_p,islam_p,judaism_p,other_religions_tot_p,sb_osb_nra_tot_p,tot_p,buddhism_percent,christianity_anglican_percent,christianity_baptist_percent,christianity_catholic_percent,christianity_eastrn_orthdox_percent,christianity_uniting_church_percent,christianity_tot_percent,hinduism_percent,islam_percent,judaism_percent,other_religions_percent,no_religion_percent
102011028,69,1411,109,1639,35,232,4055,20,10,17,9,2585,7312,0.009436542669584245,0.19297045951859956,0.014907002188183808,0.22415207877461707,0.004786652078774617,0.03172866520787746,0.5545678336980306,0.002735229759299781,0.0013676148796498905,0.002324945295404814,0.0012308533916849016,0.3535284463894967
102011029,92,2444,148,2723,57,385,6595,19,29,23,22,3127,10689,0.008606979137431003,0.2286462718682758,0.013846009916736832,0.2547478716437459,0.005332584900364861,0.03601833660772757,0.6169894283843204,0.0017775283001216203,0.002713069510711947,0.0021517447843577508,0.002058190663298718,0.2925437365515951
102011030,46,901,93,995,115,133,2573,4,35,3,25,1434,4705,0.00977683315621679,0.19149840595111584,0.019766206163655684,0.21147715196599362,0.024442082890541977,0.028267800212539853,0.546865037194474,0.0008501594048884166,0.007438894792773645,0.0006376195536663124,0.005313496280552604,0.30478214665249737
102011031,139,3044,310,3341,89,572,8953,42,37,36,41,3438,13953,0.00996201533720347,0.21816096896724718,0.02221744427721637,0.23944671396832223,0.006378556582813732,0.04099476815021859,0.6416541245610263,0.003010105353687379,0.0026517594782484053,0.0025800903031606105,0.0029384361785995843,0.2463986239518383
102011032,320,3102,343,4230,124,621,10427,253,117,30,126,5671,18803,0.017018560867946605,0.1649736744136574,0.018241769930330266,0.22496410147316917,0.006594692336329309,0.033026644684358876,0.5545391692814976,0.013455299686220284,0.006222411317342977,0.001595490081369994,0.006701058341753975,0.3016008083816412
102011033,84,1294,156,1352,49,216,3671,45,31,6,20,1976,6385,0.013155833985904464,0.20266249021143304,0.024432263116679717,0.21174628034455756,0.007674236491777604,0.03382928739232576,0.5749412685982772,0.007047768206734534,0.00485512920908379,0.0009397024275646045,0.0031323414252153485,0.3094753328112764
102011034,60,1749,145,1831,18,305,4767,27,23,14,17,1966,7313,0.008204567209079722,0.23916313414467386,0.019827704088609326,0.25037604266374947,0.0024613701627239164,0.04170654997948858,0.6518528647613838,0.0036920552440858744,0.003145084096813893,0.0019143990154519349,0.002324627375905921,0.26883631888417886
102011035,55,1399,173,1375,38,244,4046,23,34,3,24,2024,6642,0.008280638361939175,0.21062932851550736,0.02604637157482686,0.2070159590484794,0.0057211683227943394,0.036735922914784704,0.609153869316471,0.003462812405901837,0.005118940078289671,0.00045167118337850043,0.0036133694670280035,0.30472749171936164
102011036,77,1721,262,1579,54,328,4887,17,11,3,24,2449,8029,0.00959023539668701,0.21434798854153692,0.03263171005106489,0.19666209988790634,0.006725619628845435,0.04085191181965375,0.6086685764105119,0.0021173246979698593,0.0013700336280981441,0.0003736455349358575,0.00298916427948686,0.305019305019305
102011037,90,1184,111,1467,49,220,3666,29,17,9,21,1972,6206,0.014502094747019014,0.19078311311633903,0.017885916854656785,0.23638414437640992,0.007895584917821464,0.03544956493715759,0.5907186593619078,0.004672897196261682,0.0027392845633258138,0.0014502094747019013,0.00338382210763777,0.3177570093457944
102011038,42,1785,153,1621,31,261,4500,7,17,6,7,1906,6984,0.006013745704467354,0.2555841924398625,0.02190721649484536,0.23210194730813288,0.004438717067583047,0.037371134020618556,0.6443298969072165,0.001002290950744559,0.002434135166093929,0.000859106529209622,0.001002290950744559,0.2729095074455899
102011039,129,2570,153,3448,86,469,8030,55,60,30,39,4043,13347,0.009665093279388626,0.1925526335506106,0.011463250168577209,0.2583352064134262,0.006443395519592418,0.035138982542893535,0.6016333258410129,0.0041207762043905,0.004495392222971455,0.0022476961114857273,0.0029220049449314453,0.3029145126245598
102011040,293,5462,280,5905,199,732,14194,54,50,18,86,6781,23590,0.012420517168291649,0.2315387876218737,0.011869436201780416,0.2503179313268334,0.008435777871979652,0.03103009749894023,0.6016956337431115,0.002289105553200509,0.00211954217888936,0.0007630351844001695,0.003645612547689699,0.287452310300975
102011041,99,1919,106,2464,97,312,5856,17,23,14,17,3038,9757,0.010146561443066516,0.19667930716408732,0.010863995080455057,0.2525366403607666,0.009941580403812647,0.03197704212360357,0.6001844829353284,0.0017423388336578866,0.0023572819514194937,0.001434867274777083,0.0017423388336578866,0.311366198626627
102011042,186,3048,155,3503,84,381,8288,57,12,17,61,4065,13924,0.013358230393565068,0.21890261419132434,0.011131858661304223,0.25158000574547545,0.006032749209997127,0.027362826773915543,0.5952312553863832,0.004093651249640908,0.0008618213157138753,0.0012209135305946567,0.004380925021545533,0.29194197069807526
102011043,145,2226,230,2363,76,474,6583,45,70,11,52,3361,11436,0.012679258481986708,0.19464847848898217,0.020111927247289264,0.206628191675411,0.00664568030779993,0.041448058761804824,0.5756383350821965,0.003934942287513116,0.006121021336131515,0.0009618747813920952,0.004547044421126268,0.29389646729625746
102021044,135,5284,327,5994,122,701,14152,29,29,8,45,5882,22008,0.006134133042529989,0.2400945110868775,0.01485823336968375,0.2723555070883315,0.0055434387495456195,0.03185205379861868,0.6430388949472919,0.0013177026535805161,0.0013177026535805161,0.0003635041802980734,0.002044711014176663,0.2672664485641585
102021045,68,2906,189,2766,36,255,6963,7,35,7,49,3216,11046,0.006156074597139236,0.2630816585189209,0.017110266159695818,0.25040738728951656,0.0032590983161325366,0.023085279739272133,0.6303639326453014,0.0006337135614702154,0.0031685678073510772,0.0006337135614702154,0.004435994930291508,0.29114611624117326
102021046,81,2540,142,2473,37,254,6122,6,17,7,29,2388,9409,0.008608778828780955,0.2699542990753534,0.015091933255393772,0.2628334573280901,0.003932405144011053,0.02699542990753534,0.6506536295036667,0.000637687320650441,0.0018067807418429163,0.0007439685407588479,0.0030821553831437984,0.2537995536188755
102021047,104,3755,221,4010,88,474,9851,33,21,21,32,4226,15355,0.006773038098339303,0.24454575056984695,0.01439270595897102,0.2611527189840443,0.005731032237056333,0.030869423640507977,0.6415499837186585,0.002149137088896125,0.0013676326929338977,0.0013676326929338977,0.0020840117225659396,0.2752197981113644
102021048,174,5467,415,5271,142,608,13672,57,77,17,80,5923,22109,0.00787009815007463,0.24727486543941382,0.018770636392419375,0.23840969740829526,0.006422723777647112,0.027500113076122847,0.6183907006196572,0.002578135600886517,0.0034827445836537155,0.000768917635352119,0.0036184359310687956,0.2678999502465059
102021049,21,781,155,766,22,84,2106,0,6,4,5,834,3358,0.006253722453841573,0.23257891602144135,0.046158427635497316,0.2281119714115545,0.006551518761167362,0.02501488981536629,0.627159023228112,0.0,0.001786777843954735,0.0011911852293031567,0.0014889815366289458,0.24836212030970817
102021050,81,3164,173,2681,36,377,7194,20,12,9,14,2604,10728,0.007550335570469799,0.2949291573452647,0.016126025354213272,0.24990678598061147,0.003355704697986577,0.035141685309470545,0.6705816554809844,0.0018642803877703207,0.0011185682326621924,0.0008389261744966443,0.0013049962714392245,0.24272930648769575
102021051,52,1045,107,954,30,187,2863,11,18,8,19,1572,4855,0.010710607621009269,0.21524201853759012,0.02203913491246138,0.1964984552008239,0.006179196704428424,0.03851699279093718,0.5897013388259527,0.0022657054582904223,0.0037075180226570545,0.0016477857878475798,0.003913491246138002,0.32378990731204943
102021052,43,1456,76,1618,53,172,3720,4,11,3,20,1595,5768,0.0074549237170596395,0.2524271844660194,0.013176144244105409,0.2805131761442441,0.009188626907073508,0.029819694868238558,0.6449375866851595,0.0006934812760055479,0.0019070735090152566,0.0005201109570041609,0.0034674063800277394,0.2765256588072122
102021053,130,3240,146,4356,138,439,9463,49,53,8,92,3751,14941,0.008700890167994111,0.2168529549561609,0.009771768957901078,0.2915467505521719,0.009236329562947595,0.02938223679807242,0.6333578743056021,0.0032795662940900876,0.0035472859915668294,0.0005354393949534837,0.006157553041965063,0.2510541463088147
102021054,95,2274,121,2557,46,263,5992,18,20,9,37,2613,9773,0.009720658958354651,0.23268187864524711,0.012381049831167503,0.2616392100685562,0.004706845390361199,0.02691087690576077,0.6131177734574849,0.0018418090657935128,0.0020464545175483476,0.0009209045328967564,0.003785940857464443,0.2673692827176916
102021055,58,1098,151,1310,31,112,3273,79,29,5,39,1343,5303,0.010937205355459174,0.20705261172920988,0.028474448425419574,0.24702998302847445,0.0058457476899867996,0.021120120686403922,0.6171978125589289,0.014897227984159909,0.005468602677729587,0.0009428625306430323,0.0073543277390156515,0.2532528757307185
102021056,110,3598,280,4369,129,458,10147,78,82,8,79,3764,15222,0.007226382866903166,0.23636841413743268,0.018394429115753515,0.28701878859545393,0.00847457627118644,0.03008803048219682,0.6666009722769676,0.005124162396531336,0.005386939955327815,0.0005255551175929575,0.005189856786230456,0.24727368282748655
102021057,107,1940,168,2043,37,254,5181,60,57,7,59,2520,8822,0.012128768986624348,0.21990478349580594,0.01904330083881206,0.23158014055769666,0.00419406030378599,0.028791657220584903,0.587281795511222,0.0068011788710043075,0.006461119927454092,0.0007934708682838359,0.006687825889820902,0.2856495125821809
103011058,217,4228,315,7210,78,827,14660,146,114,13,96,5724,23833,0.009105022447866404,0.17740108253262282,0.01321696806948349,0.30252171359039987,0.003272773045776864,0.03469978601099316,0.6151134980908823,0.006125959803633617,0.004783283682289263,0.000545462174296144,0.004028028364033064,0.2401711912054714
103011059,56,2347,137,3870,45,461,7753,40,57,4,69,2358,11189,0.005004915542050228,0.20975958530699795,0.012244168379658592,0.3458754133523997,0.004021807132004647,0.041201179730092054,0.6929126820984896,0.00357493967289302,0.005094289033872553,0.000357493967289302,0.006166770935740459,0.21074269371704352
103011060,29,1475,78,1931,21,255,4353,14,11,0,15,1476,6910,0.004196816208393632,0.2134587554269175,0.011287988422575976,0.2794500723589001,0.0030390738060781476,0.03690303907380608,0.6299565846599132,0.0020260492040520984,0.0015918958031837917,0.0,0.002170767004341534,0.21360347322720694
103011061,21,827,32,1515,30,212,2931,3,16,0,17,956,4662,0.0045045045045045045,0.17739167739167738,0.006864006864006864,0.32496782496782495,0.006435006435006435,0.045474045474045474,0.6287001287001287,0.0006435006435006435,0.003432003432003432,0.0,0.0036465036465036463,0.20506220506220507
103021062,25,1579,28,1695,20,426,4659,25,3,0,3,1099,6630,0.003770739064856712,0.2381598793363499,0.004223227752639517,0.25565610859728505,0.0030165912518853697,0.06425339366515836,0.7027149321266968,0.003770739064856712,0.00045248868778280545,0.0,0.00045248868778280545,0.16576168929110105
103021063,32,2329,143,2741,32,355,6710,13,3,3,36,1470,9146,0.0034987972884321017,0.25464684014869887,0.015635250382680953,0.2996938552372622,0.0034987972884321017,0.03881478241854362,0.7336540564181063,0.0014213863984255412,0.0003280122457905095,0.0003280122457905095,0.0039361469494861145,0.16072600043734966
103021064,32,1518,38,1509,6,342,3893,0,3,0,20,1001,5447,0.005874793464292271,0.2786855149623646,0.006976317238847072,0.2770332293005324,0.0011015237745548008,0.06278685514962365,0.7147053423903066,0.0,0.0005507618872774004,0.0,0.0036717459151826694,0.18377088305489261
103021065,29,2593,178,3492,21,484,7494,13,18,4,20,1575,10165,0.002852926709296606,0.25509099852434824,0.01751106738809641,0.34353172651254305,0.0020659124446630595,0.04761436301032956,0.7372356123954746,0.001278898180029513,0.0017707820954254796,0.00039350713231677323,0.001967535661583866,0.15494343334972946
103021066,9,974,10,879,3,294,2569,12,0,0,6,687,3652,0.0024644030668127055,0.2667031763417306,0.002738225629791895,0.24069003285870755,0.0008214676889375684,0.08050383351588171,0.7034501642935378,0.0032858707557502738,0.0,0.0,0.0016429353778751369,0.18811610076670318
103021067,45,2850,303,3164,8,717,7988,23,22,0,21,1785,10977,0.004099480732440558,0.2596337797212353,0.027603170265099754,0.2882390452764872,0.0007287965746560992,0.06531839300355288,0.7277033797941149,0.002095290152136285,0.0020041905803042724,0.0,0.0019130910084722602,0.16261273572014212
103021068,8,779,99,748,0,305,2409,6,4,0,5,531,3390,0.002359882005899705,0.22979351032448378,0.02920353982300885,0.22064896755162242,0.0,0.08997050147492626,0.7106194690265487,0.0017699115044247787,0.0011799410029498525,0.0,0.0014749262536873156,0.15663716814159293
103021069,21,1479,33,1543,8,387,4287,16,4,0,6,826,5926,0.003543705703678704,0.24957813027337158,0.005568680391495107,0.26037799527505906,0.0013499831252109348,0.06530543368207897,0.7234222072224097,0.0026999662504218697,0.0006749915626054674,0.0,0.0010124873439082012,0.13938575767802902
103031070,105,2524,206,3051,43,829,7870,47,31,11,56,3014,12818,0.00819160555468872,0.1969105944765174,0.016071149945389298,0.23802465283195506,0.003354657512872523,0.06467467623654236,0.6139803401466688,0.0036667186768606645,0.002418474020908098,0.0008581682009673896,0.004368856295833983,0.23513808706506475
103031071,41,1820,91,2011,31,473,5101,8,22,6,25,1830,8262,0.004962478818687969,0.22028564512224644,0.01101428225611232,0.24340353425320746,0.0037521181312030983,0.05725006051803437,0.6174049866860324,0.0009682885499878964,0.002662793512466715,0.0007262164124909223,0.0030259017187121763,0.2214960058097313
103031072,66,2991,174,3316,43,395,7840,21,11,4,46,2609,11728,0.0056275579809004096,0.2550306957708049,0.014836289222373806,0.28274215552523874,0.0036664392905866303,0.033680081855388816,0.6684856753069577,0.0017905866302864938,0.0009379263301500683,0.00034106412005457026,0.003922237380627558,0.22245907230559345
103031073,24,1074,11,657,4,168,2163,7,5,0,8,769,3444,0.006968641114982578,0.3118466898954704,0.003193960511033682,0.19076655052264807,0.0011614401858304297,0.04878048780487805,0.6280487804878049,0.0020325203252032522,0.0014518002322880372,0.0,0.0023228803716608595,0.2232868757259001
103031074,48,3006,75,2399,21,300,6542,13,4,0,20,2257,10359,0.004633651896901245,0.2901824500434405,0.007240081088908196,0.2315860604305435,0.002027222704894295,0.028960324355632783,0.6315281397818322,0.0012549473887440872,0.0003861376580751038,0.0,0.0019306882903755188,0.21787817356887731
103031075,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103041076,26,1750,106,2069,11,493,5065,5,9,0,16,1518,7271,0.0035758492642002475,0.2406821620134782,0.014578462384816394,0.28455508183193506,0.0015128593040847202,0.067803603355797,0.6966029431990097,0.0006876633200385092,0.0012377939760693166,0.0,0.002200522624123229,0.2087745839636914
103041077,129,3953,220,5363,76,1242,12428,147,77,3,76,4305,19009,0.006786259140407176,0.20795412699247726,0.011573465200694407,0.2821295175969278,0.003998106160239886,0.06533747172392025,0.6537955705192278,0.0077331790204639905,0.0040507128202430425,0.0001578199800094692,0.003998106160239886,0.2264716713135883
103041078,108,3939,231,6288,94,1202,13697,125,71,6,107,4245,19728,0.005474452554744526,0.19966545012165451,0.011709245742092457,0.31873479318734793,0.004764801297648013,0.06092862935928629,0.6942923763179237,0.00633617193836172,0.0035989456609894564,0.00030413625304136254,0.0054237631792376315,0.215176399026764
103041079,56,3012,276,3142,10,882,8304,3,9,4,37,2121,11603,0.004826338016030337,0.25958803757648885,0.02378695165043523,0.2707920365422736,0.0008618460742911316,0.07601482375247781,0.7156769800913557,0.00025855382228733947,0.0007756614668620184,0.00034473842971645267,0.0031888304748771868,0.182797552357149
104011080,97,5049,282,3947,30,619,11854,38,23,4,80,4645,18668,0.00519605742446968,0.270462824083994,0.015106063852581958,0.2114313263338333,0.0016070280694236126,0.03315834583244054,0.6349903578315834,0.002035568887936576,0.0012320548532247697,0.00021427040925648167,0.004285408185129634,0.24882151274908934
104011081,113,3794,216,2735,29,513,9049,10,4,8,76,4309,15311,0.007380314806348377,0.247795702436157,0.014107504408595128,0.1786297433217948,0.0018940630918947163,0.03350532297041343,0.5910129971915616,0.0006531252041016263,0.0002612500816406505,0.000522500163281301,0.00496375155117236,0.28143165044739077
104011082,137,4120,171,3395,26,703,10048,18,15,3,40,4458,16279,0.0084157503532158,0.25308679894342406,0.010504330732845998,0.2085508937895448,0.0015971497020701518,0.043184470790589104,0.6172369310154187,0.0011057190245101051,0.0009214325204250875,0.00018428650408501752,0.0024571533878002334,0.273849745070336
104021083,118,709,26,694,4,257,2082,13,11,33,69,2821,5807,0.020320303082486654,0.12209402445324609,0.00447735491648011,0.11951093507835371,0.0006888238333046323,0.04425693128982263,0.35853280523506115,0.002238677458240055,0.0018942655415877389,0.005682796624763217,0.011882211124504908,0.485793008438092
104021084,204,3245,351,3564,60,619,9764,70,180,20,268,5207,17462,0.011682510594433627,0.18583209254380942,0.02010079028748139,0.20410033214981102,0.003436032527774596,0.03544840224487458,0.5591570266865193,0.004008704615737029,0.010308097583323789,0.0011453441759248654,0.015347611957393197,0.2981903562020387
104021085,102,1761,240,2001,51,315,5451,58,172,6,73,3054,10295,0.009907722195240408,0.17105390966488587,0.023312287518212724,0.19436619718309858,0.004953861097620204,0.0305973773676542,0.5294803302574065,0.005633802816901409,0.016707139388052454,0.0005828071879553182,0.007090820786789704,0.29664885866925694
104021086,33,728,87,591,3,107,1895,0,4,0,33,1404,3820,0.008638743455497382,0.1905759162303665,0.022774869109947644,0.15471204188481674,0.0007853403141361257,0.02801047120418848,0.49607329842931935,0.0,0.0010471204188481676,0.0,0.008638743455497382,0.3675392670157068
104021087,43,716,18,441,0,173,1587,3,0,4,22,1178,3243,0.013259327782917052,0.22078322540857231,0.005550416281221091,0.13598519888991675,0.0,0.05334566759173605,0.48936170212765956,0.0009250693802035153,0.0,0.0012334258402713536,0.0067838421214924454,0.3632439099599137
104021088,80,1620,129,1761,16,275,4682,19,16,3,90,3082,8737,0.00915646102781275,0.18541833581320818,0.01476479340734806,0.20155659837472817,0.00183129220556255,0.03147533478310633,0.5358818816527412,0.0021746594941055284,0.00183129220556255,0.00034336728854297816,0.010301018656289344,0.35275266109648623
104021089,201,4206,282,4145,32,704,11485,32,26,11,137,5980,19477,0.01031986445551163,0.21594701442727318,0.01447861580325512,0.21281511526415772,0.0016429634954048364,0.036145196898906405,0.5896698670226421,0.0016429634954048364,0.0013349078400164297,0.0005647687015454126,0.007033937464701956,0.3070288032037788
104021090,65,1149,33,894,3,235,2662,13,0,4,14,1489,4666,0.01393056150878697,0.24624946420917274,0.007072438919845692,0.19159879982854694,0.0006429489927132448,0.05036433776253751,0.5705100728675525,0.002786112301757394,0.0,0.0008572653236176596,0.0030004286326618087,0.3191170167166738
104021091,141,2497,149,1967,27,340,5900,44,72,9,981,4070,12523,0.011259282919428251,0.1993931166653358,0.011898107482232691,0.15707098937954164,0.0021560328994649843,0.027150043919188693,0.4711331150682744,0.003513535095424419,0.005749421065239959,0.0007186776331549948,0.07833586201389443,0.32500199632675875
105011092,10,756,34,1288,9,76,2481,18,7,0,16,739,4002,0.0024987506246876563,0.1889055472263868,0.00849575212393803,0.3218390804597701,0.0022488755622188904,0.01899050474762619,0.6199400299850075,0.004497751124437781,0.0017491254372813594,0.0,0.00399800099950025,0.18465767116441778
105011093,15,846,100,1576,3,295,3067,15,30,0,4,894,4657,0.0032209576980888983,0.18166201417221386,0.021473051320592657,0.33841528881254024,0.0006441915396177797,0.06334550139574834,0.6585784840025768,0.0032209576980888983,0.006441915396177797,0.0,0.0008589220528237063,0.19196907880609834
