,SA2_MAIN16,STE_NAME16,GCC_CODE16,liberal/national coalition votes,australian labor party votes,totalvotes
1331,313021369,Queensland,3GBRI,833,534,1367
1332,313031370,Queensland,3GBRI,1198,632,1830
1333,313031371,Queensland,3GBRI,1310,871,2181
1334,313041372,Queensland,3GBRI,6251,5192,11443
1335,313041373,Queensland,3GBRI,5953,4925,10878
1336,313041375,Queensland,3GBRI,1738,1521,3259
1337,313041376,Queensland,3GBRI,269,192,461
1338,313051377,Queensland,3GBRI,1220,994,2214
1339,313051378,Queensland,3GBRI,2211,1941,4152
1340,313051379,Queensland,3GBRI,1482,1179,2661
1341,313051380,Queensland,3GBRI,10832,7223,18055
1342,313051542,Queensland,3GBRI,2046,1331,3377
1343,314011382,Queensland,3GBRI,8619,5543,14162
1344,314011383,Queensland,3GBRI,1581,1117,2698
1345,314011384,Queensland,3GBRI,1823,1423,3246
1346,314011385,Queensland,3GBRI,1109,822,1931
1347,314011386,Queensland,3GBRI,7311,6834,14145
1348,314011387,Queensland,3GBRI,3867,2914,6781
1349,314021388,Queensland,3GBRI,6035,6546,12581
1350,314021389,Queensland,3GBRI,2608,2339,4947
1351,314021390,Queensland,3GBRI,10199,6971,17170
1352,314031391,Queensland,3GBRI,3385,3370,6755
1353,314031392,Queensland,3GBRI,660,890,1550
1354,314031393,Queensland,3GBRI,1466,1583,3049
1355,314031394,Queensland,3GBRI,8523,7489,16012
1356,315011395,Queensland,3RQLD,105,403,508
1357,315011396,Queensland,3RQLD,1201,1194,2395
1358,315011397,Queensland,3RQLD,194,62,256
1359,315011398,Queensland,3RQLD,237,455,692
1360,315011399,Queensland,3RQLD,150,308,458
1361,315011400,Queensland,3RQLD,897,579,1476
1362,315011401,Queensland,3RQLD,457,878,1335
1363,315011403,Queensland,3RQLD,997,679,1676
1364,315021404,Queensland,3RQLD,575,547,1122
1365,315021405,Queensland,3RQLD,4563,3065,7628
1366,315021406,Queensland,3RQLD,780,327,1107
1367,315021407,Queensland,3RQLD,722,291,1013
1368,315031408,Queensland,3RQLD,1359,624,1983
1369,315031409,Queensland,3RQLD,1347,498,1845
1370,315031410,Queensland,3RQLD,457,165,622
1371,315031411,Queensland,3RQLD,590,291,881
1372,315031412,Queensland,3RQLD,1232,397,1629
1373,316011413,Queensland,3RQLD,2092,989,3081
1374,316011414,Queensland,3RQLD,7620,3374,10994
1375,316011415,Queensland,3RQLD,2064,1189,3253
1376,316011416,Queensland,3RQLD,2037,1507,3544
1377,316021417,Queensland,3RQLD,1630,1109,2739
1378,316021418,Queensland,3RQLD,1276,753,2029
1379,316021419,Queensland,3RQLD,12964,6906,19870
1380,316021420,Queensland,3RQLD,3154,2223,5377
1381,316021421,Queensland,3RQLD,2294,1139,3433
1382,316021422,Queensland,3RQLD,1347,1136,2483
1383,316021423,Queensland,3RQLD,8137,4174,12311
1384,316021424,Queensland,3RQLD,7,3,10
1385,316031425,Queensland,3RQLD,6482,4775,11257
1386,316031426,Queensland,3RQLD,1883,1213,3096
1387,316031427,Queensland,3RQLD,18428,9211,27639
1388,316031428,Queensland,3RQLD,1330,934,2264
1389,316051435,Queensland,3RQLD,3319,1777,5096
1390,316051437,Queensland,3RQLD,8825,4918,13743
1391,316051438,Queensland,3RQLD,1772,1298,3070
1392,316051543,Queensland,3RQLD,567,579,1146
1393,316051544,Queensland,3RQLD,1143,657,1800
1394,316061439,Queensland,3RQLD,3838,2420,6258
1395,316061440,Queensland,3RQLD,2727,2346,5073
1396,316061441,Queensland,3RQLD,1139,808,1947
1397,316061442,Queensland,3RQLD,2130,1628,3758
1398,316061443,Queensland,3RQLD,1275,828,2103
1399,316061444,Queensland,3RQLD,1800,1294,3094
1400,316071545,Queensland,3RQLD,1610,910,2520
1401,316071546,Queensland,3RQLD,725,352,1077
1402,316071547,Queensland,3RQLD,2124,1687,3811
1403,316071548,Queensland,3RQLD,9827,6154,15981
1404,316081549,Queensland,3RQLD,3314,2950,6264
1405,317011445,Queensland,3RQLD,1361,465,1826
1406,317011446,Queensland,3RQLD,1704,994,2698
1407,317011447,Queensland,3RQLD,2707,1487,4194
1408,317011448,Queensland,3RQLD,5267,2264,7531
1409,317011449,Queensland,3RQLD,2382,846,3228
1410,317011450,Queensland,3RQLD,3198,1064,4262
1411,317011451,Queensland,3RQLD,2482,984,3466
1412,317011452,Queensland,3RQLD,1487,621,2108
1413,317011453,Queensland,3RQLD,1721,1252,2973
1414,317011454,Queensland,3RQLD,1284,822,2106
1415,317011455,Queensland,3RQLD,6180,2492,8672
1416,317011456,Queensland,3RQLD,17768,7897,25665
1417,317011457,Queensland,3RQLD,1842,884,2726
1418,317011458,Queensland,3RQLD,2790,1100,3890
1419,317011459,Queensland,3RQLD,3500,1944,5444
1420,318011460,Queensland,3RQLD,4915,1837,6752
1421,318011461,Queensland,3RQLD,1632,570,2202
1422,318011462,Queensland,3RQLD,3485,1616,5101
1423,318011463,Queensland,3RQLD,148,48,196
1424,318011464,Queensland,3RQLD,3345,1233,4578
1425,318011465,Queensland,3RQLD,1386,537,1923
1426,318011466,Queensland,3RQLD,153,341,494
1427,318021467,Queensland,3RQLD,728,717,1445
1428,318021468,Queensland,3RQLD,2146,1285,3431
1429,318021469,Queensland,3RQLD,658,497,1155
1430,318021470,Queensland,3RQLD,1852,1089,2941
1431,318021471,Queensland,3RQLD,2970,2535,5505
1432,318021472,Queensland,3RQLD,860,677,1537
1433,318021473,Queensland,3RQLD,3740,2332,6072
1434,318021474,Queensland,3RQLD,1203,985,2188
1435,318021475,Queensland,3RQLD,16931,9589,26520
1436,318021476,Queensland,3RQLD,1253,1264,2517
1437,318021477,Queensland,3RQLD,1094,1023,2117
1438,318021478,Queensland,3RQLD,451,397,848
1439,318021479,Queensland,3RQLD,1253,1187,2440
1440,318021480,Queensland,3RQLD,1140,955,2095
1441,318021481,Queensland,3RQLD,1549,1176,2725
1442,318021482,Queensland,3RQLD,2992,2028,5020
1443,318021483,Queensland,3RQLD,582,646,1228
1444,318021484,Queensland,3RQLD,1385,840,2225
1445,318021485,Queensland,3RQLD,939,953,1892
1446,318021486,Queensland,3RQLD,1215,699,1914
1447,318021487,Queensland,3RQLD,992,592,1584
1448,318021488,Queensland,3RQLD,1091,964,2055
1449,318021489,Queensland,3RQLD,842,450,1292
1450,318021490,Queensland,3RQLD,5447,3786,9233
1451,318021491,Queensland,3RQLD,1225,878,2103
1452,319011492,Queensland,3RQLD,549,385,934
1453,319011493,Queensland,3RQLD,3745,2091,5836
1454,319011494,Queensland,3RQLD,533,268,801
1455,319011495,Queensland,3RQLD,14559,8675,23234
1456,319011496,Queensland,3RQLD,1022,616,1638
1457,319011497,Queensland,3RQLD,1477,929,2406
1458,319011498,Queensland,3RQLD,1303,978,2281
1459,319011499,Queensland,3RQLD,2847,1240,4087
1460,319011500,Queensland,3RQLD,2829,1667,4496
1461,319011501,Queensland,3RQLD,552,518,1070
1462,319011502,Queensland,3RQLD,1045,851,1896
1463,319021503,Queensland,3RQLD,1844,798,2642
1464,319021504,Queensland,3RQLD,934,738,1672
1465,319021505,Queensland,3RQLD,5286,1927,7213
1466,319021506,Queensland,3RQLD,2346,1046,3392
1467,319021507,Queensland,3RQLD,636,193,829
1468,319021508,Queensland,3RQLD,974,298,1272
1469,319021509,Queensland,3RQLD,2632,1580,4212
1470,319031511,Queensland,3RQLD,1602,953,2555
1471,319031512,Queensland,3RQLD,10114,5049,15163
1472,319031513,Queensland,3RQLD,1944,934,2878
1473,319031514,Queensland,3RQLD,3233,1663,4896
1474,319031515,Queensland,3RQLD,1146,388,1534
1475,319041516,Queensland,3RQLD,417,205,622
1476,319041518,Queensland,3RQLD,13443,6516,19959
1477,319041520,Queensland,3RQLD,1695,1081,2776
1478,319041521,Queensland,3RQLD,5810,3107,8917
1479,319051522,Queensland,3RQLD,1984,1095,3079
1480,319051523,Queensland,3RQLD,509,461,970
1481,319051524,Queensland,3RQLD,9640,6482,16122
1482,319051525,Queensland,3RQLD,1420,828,2248
1483,319051526,Queensland,3RQLD,877,505,1382
1484,401011001,South Australia,4GADE,5672,8297,13969
1485,401011002,South Australia,4GADE,1655,1491,3146
1486,401021003,South Australia,4GADE,2062,1499,3561
1487,401021004,South Australia,4GADE,5348,5813,11161
1488,401021005,South Australia,4GADE,1290,914,2204
1489,401021006,South Australia,4GADE,2726,1956,4682
1490,401021007,South Australia,4GADE,7731,7160,14891
1491,401021008,South Australia,4GADE,1310,1329,2639
1492,401021009,South Australia,4GADE,879,1085,1964
1493,401021010,South Australia,4GADE,887,1002,1889
1494,401031011,South Australia,4GADE,5294,3278,8572
1495,401031012,South Australia,4GADE,2700,1617,4317
1496,401031013,South Australia,4GADE,3084,1746,4830
1497,401041014,South Australia,4GADE,3057,2415,5472
1498,401041015,South Australia,4GADE,2830,2626,5456
1499,401041016,South Australia,4GADE,4072,3546,7618
1500,401051017,South Australia,4GADE,2747,2668,5415
1501,401051018,South Australia,4GADE,10083,6967,17050
1502,401051019,South Australia,4GADE,2448,2274,4722
1503,401061020,South Australia,4GADE,1897,2106,4003
1504,401061021,South Australia,4GADE,2940,3813,6753
1505,401061022,South Australia,4GADE,2417,1831,4248
1506,401071023,South Australia,4GADE,3632,4440,8072
1507,401071024,South Australia,4GADE,6841,5115,11956
1508,402011025,South Australia,4GADE,1590,1599,3189
1509,402011026,South Australia,4GADE,6554,7108,13662
1510,402011027,South Australia,4GADE,1054,923,1977
1511,402021028,South Australia,4GADE,2571,4916,7487
1512,402021029,South Australia,4GADE,1638,4208,5846
1513,402021030,South Australia,4GADE,4165,8372,12537
1514,402021031,South Australia,4GADE,1331,3151,4482
1515,402021032,South Australia,4GADE,1689,2440,4129
1516,402021033,South Australia,4GADE,565,399,964
1517,402021034,South Australia,4GADE,2816,6850,9666
1518,402021035,South Australia,4GADE,717,741,1458
1519,402031036,South Australia,4GADE,2013,4075,6088
1520,402031037,South Australia,4GADE,2648,3581,6229
1521,402031038,South Australia,4GADE,3346,3947,7293
1522,402041040,South Australia,4GADE,2540,4700,7240
1523,402041041,South Australia,4GADE,1490,3018,4508
1524,402041043,South Australia,4GADE,2200,5048,7248
1525,402041044,South Australia,4GADE,1975,4551,6526
1526,402041046,South Australia,4GADE,1792,4082,5874
1527,402041047,South Australia,4GADE,3114,5048,8162
1528,402041048,South Australia,4GADE,1789,4425,6214
1529,402041171,South Australia,4GADE,3748,5387,9135
1530,402041172,South Australia,4GADE,888,2246,3134
1531,402051049,South Australia,4GADE,3717,4309,8026
1532,402051050,South Australia,4GADE,1762,2258,4020
1533,402051051,South Australia,4GADE,2552,1910,4462
1534,402051052,South Australia,4GADE,7795,9764,17559
1535,402051053,South Australia,4GADE,3701,5404,9105
1536,402051054,South Australia,4GADE,2913,3968,6881
1537,402051055,South Australia,4GADE,2896,3580,6476
1538,403011056,South Australia,4GADE,7581,6455,14036
1539,403011057,South Australia,4GADE,8178,5776,13954
1540,403021058,South Australia,4GADE,2134,2844,4978
1541,403021059,South Australia,4GADE,2360,3274,5634
1542,403021060,South Australia,4GADE,2279,2360,4639
1543,403021061,South Australia,4GADE,2155,2922,5077
1544,403021062,South Australia,4GADE,2670,2891,5561
1545,403021063,South Australia,4GADE,1829,2953,4782
1546,403021064,South Australia,4GADE,1956,2221,4177
1547,403031065,South Australia,4GADE,1242,1786,3028
1548,403031066,South Australia,4GADE,1083,1428,2511
1549,403031067,South Australia,4GADE,2645,2773,5418
1550,403031068,South Australia,4GADE,7190,6960,14150
1551,403031069,South Australia,4GADE,4332,3507,7839
1552,403031070,South Australia,4GADE,1406,1495,2901
1553,403041071,South Australia,4GADE,4379,4892,9271
1554,403041072,South Australia,4GADE,3294,4695,7989
1555,403041073,South Australia,4GADE,1049,2922,3971
1556,403041074,South Australia,4GADE,1340,3023,4363
1557,403041075,South Australia,4GADE,834,690,1524
1558,403041076,South Australia,4GADE,1242,1305,2547
1559,403041077,South Australia,4GADE,1562,1616,3178
1560,403041078,South Australia,4GADE,842,1584,2426
1561,403041079,South Australia,4GADE,726,2103,2829
1562,403041080,South Australia,4GADE,1898,2439,4337
1563,403041083,South Australia,4GADE,1514,1272,2786
1564,403041084,South Australia,4GADE,1643,3526,5169
1565,403041085,South Australia,4GADE,5487,9434,14921
1566,403041086,South Australia,4GADE,1989,3678,5667
1567,403041087,South Australia,4GADE,3199,6846,10045
1568,403041088,South Australia,4GADE,775,985,1760
1569,403041089,South Australia,4GADE,3038,4822,7860
1570,404011090,South Australia,4GADE,763,1261,2024
1571,404011091,South Australia,4GADE,3538,4468,8006
1572,404011092,South Australia,4GADE,2913,2881,5794
1573,404011093,South Australia,4GADE,2628,5715,8343
1574,404011094,South Australia,4GADE,1376,2270,3646
1575,404011095,South Australia,4GADE,3504,3976,7480
1576,404011096,South Australia,4GADE,7680,7749,15429
1577,404011097,South Australia,4GADE,2477,4907,7384
1578,404021099,South Australia,4GADE,2397,5100,7497
1579,404021100,South Australia,4GADE,1001,2013,3014
1580,404021101,South Australia,4GADE,3560,6917,10477
1581,404021102,South Australia,4GADE,2077,5136,7213
1582,404031105,South Australia,4GADE,497,429,926
1583,404031106,South Australia,4GADE,2649,2904,5553
1584,404031107,South Australia,4GADE,3302,4017,7319
1585,404031108,South Australia,4GADE,2447,5683,8130
1586,404031109,South Australia,4GADE,1116,889,2005
1587,405011110,South Australia,4RSAU,1957,1195,3152
1588,405011111,South Australia,4RSAU,2456,1667,4123
1589,405011112,South Australia,4RSAU,1633,1276,2909
1590,405011113,South Australia,4RSAU,690,434,1124
1591,405011114,South Australia,4RSAU,3668,1880,5548
1592,405011115,South Australia,4RSAU,1294,649,1943
1593,405021116,South Australia,4RSAU,1479,639,2118
1594,405021117,South Australia,4RSAU,1562,720,2282
1595,405021118,South Australia,4RSAU,1396,585,1981
1596,405021119,South Australia,4RSAU,3208,1358,4566
1597,405031120,South Australia,4RSAU,1657,541,2198
1598,405031121,South Australia,4RSAU,3290,1856,5146
1599,405031122,South Australia,4RSAU,4642,4077,8719
1600,405031123,South Australia,4RSAU,920,387,1307
1601,405041124,South Australia,4RSAU,2924,1493,4417
1602,405041125,South Australia,4RSAU,1409,770,2179
1603,405041126,South Australia,4RSAU,989,736,1725
1604,405041127,South Australia,4RSAU,2702,977,3679
1605,405041128,South Australia,4RSAU,1517,669,2186
1606,406011129,South Australia,4RSAU,842,373,1215
1607,406011130,South Australia,4RSAU,2458,652,3110
1608,406011131,South Australia,4RSAU,1525,301,1826
1609,406011132,South Australia,4RSAU,903,259,1162
1610,406011133,South Australia,4RSAU,6156,2842,8998
1611,406011134,South Australia,4RSAU,897,241,1138
1612,406011136,South Australia,4RSAU,4934,6392,11326
1613,406021139,South Australia,4RSAU,304,286,590
1614,406021140,South Australia,4RSAU,505,228,733
1615,406021141,South Australia,4RSAU,150,134,284
1616,406021142,South Australia,4RSAU,4185,3496,7681
1617,406021143,South Australia,4RSAU,1065,439,1504
1618,407011144,South Australia,4RSAU,2378,2143,4521
1619,407011145,South Australia,4RSAU,1396,836,2232
1620,407011146,South Australia,4RSAU,2850,2098,4948
1621,407011147,South Australia,4RSAU,1580,1036,2616
1622,407011148,South Australia,4RSAU,7374,5875,13249
1623,407011149,South Australia,4RSAU,1419,1237,2656
1624,407021150,South Australia,4RSAU,1106,367,1473
1625,407021151,South Australia,4RSAU,1530,379,1909
1626,407021152,South Australia,4RSAU,1509,1000,2509
1627,407021154,South Australia,4RSAU,3095,873,3968
1628,407021155,South Australia,4RSAU,400,55,455
1629,407021156,South Australia,4RSAU,1269,476,1745
1630,407021157,South Australia,4RSAU,2643,599,3242
1631,407021158,South Australia,4RSAU,1249,425,1674
1632,407021173,South Australia,4RSAU,9346,4240,13586
1633,407021174,South Australia,4RSAU,3620,1897,5517
1634,407031159,South Australia,4RSAU,2280,903,3183
1635,407031160,South Australia,4RSAU,1125,691,1816
1636,407031161,South Australia,4RSAU,980,210,1190
1637,407031162,South Australia,4RSAU,2296,711,3007
1638,407031163,South Australia,4RSAU,196,73,269
1639,407031164,South Australia,4RSAU,1900,1068,2968
1640,407031165,South Australia,4RSAU,7294,3919,11213
1641,407031166,South Australia,4RSAU,601,201,802
1642,407031167,South Australia,4RSAU,2862,1233,4095
1643,407031168,South Australia,4RSAU,1230,493,1723
1644,407031169,South Australia,4RSAU,1742,572,2314
1645,407031170,South Australia,4RSAU,2200,910,3110
1646,501011001,Western Australia,5RWAU,1830,1248,3078
1647,501011002,Western Australia,5RWAU,10307,4408,14715
1648,501011003,Western Australia,5RWAU,3454,1653,5107
1649,501011004,Western Australia,5RWAU,2076,1976,4052
1650,501021005,Western Australia,5RWAU,4684,2574,7258
1651,501021007,Western Australia,5RWAU,1572,821,2393
1652,501021008,Western Australia,5RWAU,1328,1076,2404
1653,501021009,Western Australia,5RWAU,1896,2754,4650
1654,501021010,Western Australia,5RWAU,1167,424,1591
1655,501021012,Western Australia,5RWAU,2413,1428,3841
1656,501021014,Western Australia,5RWAU,2482,1172,3654
1657,501021015,Western Australia,5RWAU,1847,1235,3082
1658,501021016,Western Australia,5RWAU,1073,588,1661
1659,501021251,Western Australia,5RWAU,1778,1133,2911
1660,501021252,Western Australia,5RWAU,836,397,1233
1661,501021253,Western Australia,5RWAU,10477,5854,16331
1662,501021254,Western Australia,5RWAU,626,588,1214
1663,501031017,Western Australia,5RWAU,1666,946,2612
1664,501031018,Western Australia,5RWAU,1763,891,2654
1665,501031019,Western Australia,5RWAU,2494,1268,3762
1666,501031020,Western Australia,5RWAU,1132,692,1824
1667,502011021,Western Australia,5GPER,1114,692,1806
1668,502011022,Western Australia,5GPER,5526,3120,8646
1669,502011023,Western Australia,5GPER,12555,7983,20538
1670,502011024,Western Australia,5GPER,3216,1966,5182
1671,502011025,Western Australia,5GPER,1091,1044,2135
1672,502011026,Western Australia,5GPER,1592,923,2515
1673,502011027,Western Australia,5GPER,3074,2031,5105
1674,502011028,Western Australia,5GPER,1329,953,2282
1675,502011029,Western Australia,5GPER,1730,1119,2849
1676,503011030,Western Australia,5GPER,2247,701,2948
1677,503011031,Western Australia,5GPER,3338,1462,4800
1678,503011032,Western Australia,5GPER,2772,1201,3973
1679,503011033,Western Australia,5GPER,2046,892,2938
1680,503011034,Western Australia,5GPER,2746,1380,4126
1681,503011035,Western Australia,5GPER,4464,2183,6647
1682,503011036,Western Australia,5GPER,1875,954,2829
1683,503021038,Western Australia,5GPER,2479,3157,5636
1684,503021039,Western Australia,5GPER,2960,3815,6775
1685,503021040,Western Australia,5GPER,1492,2398,3890
1686,503021041,Western Australia,5GPER,8595,8879,17474
1687,503021042,Western Australia,5GPER,8363,5117,13480
1688,503021043,Western Australia,5GPER,4742,3350,8092
1689,504011044,Western Australia,5GPER,2670,4042,6712
1690,504011045,Western Australia,5GPER,2697,4306,7003
1691,504011046,Western Australia,5GPER,1892,3028,4920
1692,504011047,Western Australia,5GPER,9322,9092,18414
1693,504011048,Western Australia,5GPER,2082,1953,4035
1694,504021049,Western Australia,5GPER,653,443,1096
1695,504021050,Western Australia,5GPER,1335,1328,2663
1696,504021051,Western Australia,5GPER,1115,724,1839
1697,504021053,Western Australia,5GPER,4584,3215,7799
1698,504021054,Western Australia,5GPER,7175,5829,13004
1699,504031056,Western Australia,5GPER,3402,4196,7598
1700,504031057,Western Australia,5GPER,3602,5142,8744
1701,504031058,Western Australia,5GPER,1324,772,2096
1702,504031059,Western Australia,5GPER,9360,8030,17390
1703,504031060,Western Australia,5GPER,715,336,1051
1704,504031061,Western Australia,5GPER,813,618,1431
1705,504031062,Western Australia,5GPER,869,1533,2402
1706,504031063,Western Australia,5GPER,2316,2416,4732
1707,504031065,Western Australia,5GPER,1181,1080,2261
1708,504031066,Western Australia,5GPER,1744,1920,3664
1709,504031067,Western Australia,5GPER,1255,1346,2601
1710,504031068,Western Australia,5GPER,1432,907,2339
1711,505011070,Western Australia,5GPER,1805,1984,3789
1712,505011071,Western Australia,5GPER,2931,2144,5075
1713,505011072,Western Australia,5GPER,4605,2776,7381
1714,505011073,Western Australia,5GPER,3193,2923,6116
1715,505011074,Western Australia,5GPER,2741,2228,4969
1716,505011075,Western Australia,5GPER,3565,1615,5180
1717,505011076,Western Australia,5GPER,2100,959,3059
1718,505011077,Western Australia,5GPER,10722,6922,17644
1719,505011078,Western Australia,5GPER,3449,2196,5645
1720,505011079,Western Australia,5GPER,2923,1790,4713
1721,505011080,Western Australia,5GPER,2877,1536,4413
1722,505011081,Western Australia,5GPER,2199,1764,3963
1723,505011082,Western Australia,5GPER,3537,1460,4997
1724,505011083,Western Australia,5GPER,2673,1740,4413
1725,505021084,Western Australia,5GPER,10821,7277,18098
1726,505021085,Western Australia,5GPER,2011,3563,5574
1727,505021086,Western Australia,5GPER,5701,4650,10351
1728,505021088,Western Australia,5GPER,3283,2642,5925
1729,505021089,Western Australia,5GPER,6794,4038,10832
1730,505021090,Western Australia,5GPER,1649,2323,3972
1731,505021092,Western Australia,5GPER,1754,1444,3198
1732,505021093,Western Australia,5GPER,1697,1274,2971
1733,505021094,Western Australia,5GPER,2103,1169,3272
1734,505021095,Western Australia,5GPER,2449,2582,5031
1735,505021096,Western Australia,5GPER,4763,2499,7262
1736,505021097,Western Australia,5GPER,4015,3110,7125
1737,505031098,Western Australia,5GPER,1703,2383,4086
1738,505031099,Western Australia,5GPER,4475,4289,8764
1739,505031100,Western Australia,5GPER,2723,2606,5329
1740,505031101,Western Australia,5GPER,1982,2106,4088
1741,505031102,Western Australia,5GPER,884,1648,2532
1742,505031103,Western Australia,5GPER,6007,4741,10748
1743,505031104,Western Australia,5GPER,2173,3220,5393
1744,505031105,Western Australia,5GPER,4022,2608,6630
1745,505031107,Western Australia,5GPER,1725,1553,3278
1746,505031108,Western Australia,5GPER,7598,5956,13554
1747,505031255,Western Australia,5GPER,1156,1174,2330
1748,505031257,Western Australia,5GPER,509,429,938
1749,505031258,Western Australia,5GPER,3140,2278,5418
1750,506011110,Western Australia,5GPER,6316,8521,14837
1751,506011112,Western Australia,5GPER,955,1594,2549
1752,506011113,Western Australia,5GPER,3431,3660,7091
1753,506011114,Western Australia,5GPER,1579,2263,3842
1754,506011115,Western Australia,5GPER,1486,1075,2561
1755,506011116,Western Australia,5GPER,1813,1241,3054
1756,506011117,Western Australia,5GPER,761,1189,1950
1757,506021118,Western Australia,5GPER,5165,5341,10506
1758,506021119,Western Australia,5GPER,2970,4112,7082
1759,506021121,Western Australia,5GPER,0,0,0
1760,506021122,Western Australia,5GPER,3027,3359,6386
1761,506021123,Western Australia,5GPER,1914,2035,3949
1762,506031124,Western Australia,5GPER,2523,2653,5176
1763,506031125,Western Australia,5GPER,2798,2061,4859
1764,506031127,Western Australia,5GPER,9704,9538,19242
1765,506031128,Western Australia,5GPER,2333,2384,4717
1766,506031129,Western Australia,5GPER,3061,1819,4880
1767,506031131,Western Australia,5GPER,4554,3477,8031
1768,506041132,Western Australia,5GPER,2208,3053,5261
1769,506041133,Western Australia,5GPER,3323,3355,6678
1770,506041134,Western Australia,5GPER,2539,4059,6598
1771,506041135,Western Australia,5GPER,2723,3354,6077
1772,506041136,Western Australia,5GPER,1378,2023,3401
1773,506041137,Western Australia,5GPER,3646,4826,8472
1774,506051138,Western Australia,5GPER,3830,3332,7162
1775,506051139,Western Australia,5GPER,2346,2099,4445
1776,506051140,Western Australia,5GPER,4108,2417,6525
1777,506051141,Western Australia,5GPER,3558,2088,5646
1778,506061142,Western Australia,5GPER,5747,3750,9497
1779,506061143,Western Australia,5GPER,1256,660,1916
1780,506061144,Western Australia,5GPER,986,535,1521
1781,506071145,Western Australia,5GPER,4072,2613,6685
1782,506071146,Western Australia,5GPER,1611,1130,2741
1783,506071147,Western Australia,5GPER,4316,2683,6999
1784,507011148,Western Australia,5GPER,3121,3250,6371
1785,507011152,Western Australia,5GPER,2171,1986,4157
1786,507011153,Western Australia,5GPER,688,1370,2058
1787,507011154,Western Australia,5GPER,1408,2584,3992
1788,507011159,Western Australia,5GPER,2135,2714,4849
1789,507011160,Western Australia,5GPER,1440,2268,3708
1790,507011161,Western Australia,5GPER,7566,8092,15658
1791,507011163,Western Australia,5GPER,777,1279,2056
1792,507011259,Western Australia,5GPER,1798,2164,3962
1793,507021164,Western Australia,5GPER,804,573,1377
1794,507021165,Western Australia,5GPER,5446,9400,14846
1795,507021166,Western Australia,5GPER,2245,4831,7076
1796,507031169,Western Australia,5GPER,1494,2480,3974
1797,507031170,Western Australia,5GPER,1400,3111,4511
1798,507031173,Western Australia,5GPER,218,336,554
1799,507031174,Western Australia,5GPER,513,1118,1631
1800,507031261,Western Australia,5GPER,1237,1201,2438
1801,507041175,Western Australia,5GPER,9067,3897,12964
1802,507041176,Western Australia,5GPER,1270,750,2020
1803,507041177,Western Australia,5GPER,2985,2990,5975
1804,507041178,Western Australia,5GPER,3610,2242,5852
1805,507041179,Western Australia,5GPER,1933,1263,3196
1806,507041180,Western Australia,5GPER,3270,1985,5255
1807,507041181,Western Australia,5GPER,4144,2564,6708
1808,507041182,Western Australia,5GPER,1741,1706,3447
1809,507041183,Western Australia,5GPER,1260,1417,2677
1810,507041184,Western Australia,5GPER,1856,929,2785
1811,507051185,Western Australia,5GPER,4230,4889,9119
1812,507051186,Western Australia,5GPER,681,1543,2224
1813,507051187,Western Australia,5GPER,3704,4732,8436
1814,507051188,Western Australia,5GPER,9266,11483,20749
1815,507051190,Western Australia,5GPER,1563,2048,3611
1816,507051191,Western Australia,5GPER,3171,3541,6712
1817,507051192,Western Australia,5GPER,1617,2391,4008
1818,507051193,Western Australia,5GPER,1457,2287,3744
1819,509011225,Western Australia,5RWAU,9323,5738,15061
1820,509011226,Western Australia,5RWAU,915,438,1353
1821,509011227,Western Australia,5RWAU,744,460,1204
1822,509011228,Western Australia,5RWAU,1196,1289,2485
1823,509011229,Western Australia,5RWAU,894,190,1084
1824,509011230,Western Australia,5RWAU,1152,487,1639
1825,509011231,Western Australia,5RWAU,1543,361,1904
1826,509011232,Western Australia,5RWAU,777,528,1305
1827,509011233,Western Australia,5RWAU,1399,840,2239
1828,509011234,Western Australia,5RWAU,1436,740,2176
1829,509021236,Western Australia,5RWAU,1471,738,2209
1830,509021237,Western Australia,5RWAU,1194,334,1528
1831,509021238,Western Australia,5RWAU,1412,313,1725
1832,509021239,Western Australia,5RWAU,2599,889,3488
1833,509021240,Western Australia,5RWAU,1926,520,2446
1834,509021241,Western Australia,5RWAU,1584,289,1873
1835,509021242,Western Australia,5RWAU,829,177,1006
1836,509021243,Western Australia,5RWAU,3554,2161,5715
1837,509021244,Western Australia,5RWAU,802,504,1306
1838,509021245,Western Australia,5RWAU,1507,696,2203
1839,509031246,Western Australia,5RWAU,1289,340,1629
1840,509031247,Western Australia,5RWAU,1671,274,1945
1841,509031248,Western Australia,5RWAU,568,348,916
1842,509031249,Western Australia,5RWAU,1695,708,2403
1843,509031250,Western Australia,5RWAU,1599,394,1993
1844,510011262,Western Australia,5RWAU,2446,2528,4974
1845,510011263,Western Australia,5RWAU,455,620,1075
1846,510011264,Western Australia,5RWAU,114,166,280
1847,510011265,Western Australia,5RWAU,1098,766,1864
1848,510021268,Western Australia,5RWAU,654,503,1157
1849,510021269,Western Australia,5RWAU,540,369,909
1850,510021270,Western Australia,5RWAU,1890,1707,3597
1851,510031271,Western Australia,5RWAU,893,638,1531
1852,510031272,Western Australia,5RWAU,3404,2471,5875
1853,510031273,Western Australia,5RWAU,361,310,671
1854,511011274,Western Australia,5RWAU,4732,1867,6599
1855,511011275,Western Australia,5RWAU,525,187,712
1856,511021276,Western Australia,5RWAU,1225,640,1865
1857,511021277,Western Australia,5RWAU,829,596,1425
1858,511031278,Western Australia,5RWAU,687,611,1298
1859,511031279,Western Australia,5RWAU,5314,3201,8515
