sa2_maincode_2016,tot_before_1946,tot_1946_1955,tot_1956_1965,tot_1966_1975,tot_1976_1985,tot_1986_1995,tot_1996_2005,tot_2006_2010,tot_2011,tot_2012,tot_2013,tot_2014,tot_2015,tot_2016,tot_tot,home_percent,established_percent,recent_percent,new_percent
102011043,13,120,188,350,248,266,308,254,48,61,25,38,15,14,2050,0.3273170731707317,0.25073170731707317,0.27414634146341466,0.09804878048780488
102021044,16,174,309,518,276,279,286,174,38,51,44,36,28,11,2356,0.43166383701188454,0.23556876061120544,0.19524617996604415,0.08828522920203735
102021045,4,79,136,248,152,169,148,67,25,6,16,10,8,8,1111,0.42034203420342037,0.2889288928892889,0.1935193519351935,0.06570657065706571
102021046,9,96,194,244,115,112,92,40,10,4,11,11,8,0,977,0.5557830092118731,0.2323439099283521,0.13510747185261002,0.04503582395087001
102021047,10,121,273,385,241,243,234,134,25,20,23,18,25,10,1818,0.43399339933993397,0.2662266226622662,0.20242024202420242,0.06655665566556655
102021048,14,225,391,562,311,324,230,197,30,47,28,45,32,11,2576,0.46273291925465837,0.24650621118012422,0.16576086956521738,0.0749223602484472
102021049,3,16,40,70,67,62,45,26,5,5,6,3,0,3,356,0.36235955056179775,0.36235955056179775,0.199438202247191,0.06179775280898876
102021050,5,140,242,331,156,110,93,40,6,9,10,11,3,4,1210,0.5933884297520661,0.21983471074380165,0.10991735537190082,0.03553719008264463
102021051,0,43,71,111,120,137,93,57,11,7,17,12,16,9,721,0.3120665742024965,0.3564493758668516,0.20804438280166435,0.09986130374479889
102021052,6,70,118,182,82,60,44,19,11,3,9,3,0,3,624,0.6025641025641025,0.22756410256410256,0.10096153846153846,0.046474358974358976
102021053,7,189,260,360,229,189,205,147,41,32,43,38,32,17,1875,0.4352,0.22293333333333334,0.18773333333333334,0.10826666666666666
102021054,11,113,174,241,129,111,100,46,10,14,7,13,10,0,1038,0.5192678227360308,0.23121387283236994,0.14065510597302505,0.05202312138728324
102021055,3,47,73,147,102,156,191,140,22,11,8,17,16,21,981,0.27522935779816515,0.26299694189602446,0.33741080530071355,0.09683995922528033
102021056,8,122,218,380,240,281,378,326,50,66,41,41,35,15,2275,0.32,0.229010989010989,0.30945054945054945,0.10901098901098902
102021057,3,70,135,221,165,193,182,147,34,38,36,29,25,25,1324,0.3240181268882175,0.270392749244713,0.24848942598187312,0.14123867069486404
103011058,8,138,167,306,194,209,321,304,70,82,86,67,73,54,2249,0.27523343708314807,0.1791907514450867,0.2779012894619831,0.1920853712761227
103011059,7,62,97,120,100,76,111,94,24,15,16,26,18,19,818,0.34963325183374083,0.21515892420537897,0.2506112469437653,0.14425427872860636
103011060,5,46,85,123,68,64,42,21,0,0,0,3,4,0,536,0.4832089552238806,0.2462686567164179,0.11753731343283583,0.013059701492537313
103011061,3,41,79,94,46,37,43,35,7,9,4,0,11,3,447,0.4854586129753915,0.18568232662192394,0.174496644295302,0.07606263982102908
103021062,0,18,22,25,14,16,37,31,13,10,13,28,0,5,251,0.2589641434262948,0.11952191235059761,0.27091633466135456,0.2749003984063745
103021063,10,87,78,103,34,48,73,44,3,11,3,3,5,3,531,0.5235404896421846,0.1544256120527307,0.22033898305084745,0.05273069679849341
103021064,0,35,45,90,39,22,31,24,4,4,3,0,0,3,329,0.5167173252279635,0.18541033434650456,0.16717325227963525,0.0425531914893617
