,state,divisionnm_x,pollingplaceid,pollingplacenm,premisesnm,premisessuburb,premisespostcode,latitude,longitude,liberal/national coalition votes,liberal/national coalition percentage,australian labor party votes,australian labor party percentage,totalvotes,SA2_MAIN16,SA2_NAME16,GCC_CODE16,STE_NAME16,AREASQKM16
30,ACT,Bean,8780,Mawson,Mawson Primary School,MAWSON,2607.0,-35.3585,149.097,701,38.86,1103,61.14,1804,801091106,Mawson,8ACTE,Australian Capital Territory,2.1128
31,ACT,Bean,8781,Monash,Monash Primary School,MONASH,2904.0,-35.4151,149.089,806,43.76,1036,56.24,1842,801071084,Monash,8ACTE,Australian Capital Territory,3.4119
32,ACT,Bean,65739,Norfolk Island,Taylors Rd,NORFOLK ISLAND,2899.0,-29.034671999999997,167.95324399999998,145,52.54,131,47.46,276,901041004,Norfolk Island,9OTER,Other Territories,38.6509
33,ACT,Bean,66153,Norfolk Island PPVC,79c Taylors Rd,NORFOLK ISLAND,2899.0,-29.0409807,167.9560078,157,57.3,117,42.7,274,901041004,Norfolk Island,9OTER,Other Territories,38.6509
35,ACT,Bean,93928,Parkes (Bean),Old Parliament House,PARKES,2600.0,-35.30196110000001,149.1299644,130,23.99,412,76.01,542,801061068,Parkes (ACT) - South,8ACTE,Australian Capital Territory,1.8118
36,ACT,Bean,97479,Parkes BEAN PPVC,Old Parliament House,PARKES,2600.0,-35.30196110000001,149.1299644,350,36.92,598,63.08,948,801061068,Parkes (ACT) - South,8ACTE,Australian Capital Territory,1.8118
37,ACT,Bean,8784,Pearce,Melrose High School,PEARCE,2607.0,-35.3637,149.089,808,38.24,1305,61.76,2113,801091108,Pearce,8ACTE,Australian Capital Territory,1.7032
38,ACT,Bean,8786,Richardson,Richardson Primary School,RICHARDSON,2905.0,-35.4287,149.114,529,43.9,676,56.1,1205,801071087,Richardson,8ACTE,Australian Capital Territory,2.2371
42,ACT,Bean,8788,Tharwa,Tharwa Community Room,THARWA,2620.0,-35.5088,149.06799999999998,55,49.11,57,50.89,112,801111140,ACT - South West,8ACTE,Australian Capital Territory,416.6124
43,ACT,Bean,11878,Theodore,Theodore Primary School,THEODORE,2905.0,-35.4477,149.124,634,44.15,802,55.85,1436,801071088,Theodore,8ACTE,Australian Capital Territory,3.1353
44,ACT,Bean,32704,Tuggeranong BEAN PPVC,Centrepoint,GREENWAY,2900.0,-35.415369399999996,149.06785680000002,8200,48.46,8722,51.54,16922,801071080,Greenway,8ACTE,Australian Capital Territory,5.307
45,ACT,Bean,8790,Wanniassa,Wanniassa Senior Campus,WANNIASSA,2903.0,-35.3947,149.086,658,41.72,919,58.28,1577,801071090,Wanniassa,8ACTE,Australian Capital Territory,5.3975
46,ACT,Bean,8791,Wanniassa Hills,Wanniassa Hills Primary School,WANNIASSA,2903.0,-35.391999999999996,149.096,631,36.92,1078,63.08,1709,801071090,Wanniassa,8ACTE,Australian Capital Territory,5.3975
47,ACT,Bean,8792,Waramanga,Arawang Primary School,WARAMANGA,2611.0,-35.355,149.06,624,33.32,1249,66.68,1873,801081097,Waramanga,8ACTE,Australian Capital Territory,1.7098
