sa2_maincode_2016,p_tot_total,p_pgrad_deg_total,p_graddip_and_gradcert_total,p_bachdeg_total,p_advdip_and_dip_total,p_cert_iii_iv_total,p_cert_i_ii_total,p_cert_lev_tot_total,post_grad_degree_percent,post_grad_dip_cert_percent,bach_degree_percent,diploma_percent,certificate_percent,bach_post_grad_percent
104021084,8156,242,176,1394,1302,2726,281,3339,0.029671407552721924,0.02157920549288867,0.17091711623344777,0.1596370769985287,0.4093918587542913,0.22216772927905837
104021085,5295,193,107,937,722,1498,157,1860,0.0364494806421152,0.02020774315391879,0.17695939565627952,0.13635505193578848,0.35127478753541075,0.2336166194523135
104021086,1969,76,56,312,294,715,58,849,0.038598273235144746,0.028440832910106652,0.1584560690705942,0.14931437277805992,0.43118334179786694,0.2254951752158456
104021087,1504,45,48,255,191,507,48,613,0.02992021276595745,0.031914893617021274,0.16954787234042554,0.12699468085106383,0.40757978723404253,0.23138297872340424
104021088,4669,240,155,1101,789,1481,93,1763,0.05140286999357464,0.03319768687085029,0.23581066609552367,0.16898693510387663,0.37759691582780036,0.3204112229599486
104021089,9263,329,276,1738,1404,3248,286,4006,0.03551765086904891,0.029795962431177804,0.187628198207924,0.15157076541077405,0.432473280794559,0.2529418115081507
104021090,2397,83,66,431,330,839,57,998,0.034626616604088445,0.02753441802252816,0.179808093450146,0.1376720901126408,0.4163537755527743,0.24196912807676263
104021091,5893,167,165,1106,898,1927,138,2315,0.02833870694043781,0.027999321228576277,0.18768029865942643,0.15238418462582726,0.3928389614797217,0.24401832682844052
105011092,1650,38,18,223,200,356,67,468,0.02303030303030303,0.01090909090909091,0.13515151515151516,0.12121212121212122,0.28363636363636363,0.1690909090909091
105011093,1960,53,33,250,175,752,52,854,0.027040816326530614,0.01683673469387755,0.12755102040816327,0.08928571428571429,0.4357142857142857,0.17142857142857143
105011094,1687,28,21,222,168,459,51,565,0.016597510373443983,0.012448132780082987,0.13159454653230587,0.0995850622406639,0.33491404860699464,0.16064018968583285
105011095,1973,38,34,293,224,630,46,761,0.01926001013684744,0.017232640648758235,0.1485048150025342,0.11353269133299544,0.38570704510897114,0.1849974657881399
105011096,2506,51,38,356,310,682,70,833,0.020351157222665603,0.015163607342378291,0.1420590582601756,0.12370311252992817,0.3324022346368715,0.17757382282521947
105021097,7572,192,178,893,804,2881,224,3399,0.025356576862123614,0.023507659799260432,0.11793449550977285,0.10618066561014262,0.4488906497622821,0.1667987321711569
105021098,1039,16,14,90,106,267,27,333,0.015399422521655439,0.013474494706448507,0.08662175168431184,0.10202117420596728,0.3205004812319538,0.11549566891241578
105031099,3427,80,70,486,387,1102,113,1365,0.023344032681645754,0.020426028596440035,0.14181499854099797,0.11292675809746133,0.3983075576305807,0.18558505981908374
105031100,4634,187,147,826,557,1719,144,2010,0.0403539059128183,0.03172205438066465,0.1782477341389728,0.12019853258523953,0.43375053949072073,0.2503236944324558
105031101,8018,364,235,1720,1028,2710,197,3203,0.04539785482664006,0.02930905462708905,0.21451733599401346,0.1282115240708406,0.39947617859815415,0.28922424544774256
105031102,3755,131,75,626,507,1303,113,1572,0.03488681757656458,0.019973368841544607,0.166711051930759,0.13501997336884156,0.41864181091877495,0.2215712383488682
105031103,2749,65,62,497,347,992,71,1169,0.02364496180429247,0.022553655874863587,0.18079301564205166,0.1262277191706075,0.4252455438341215,0.22699163332120773
105031104,1776,34,20,254,200,637,58,767,0.019144144144144143,0.01126126126126126,0.14301801801801803,0.11261261261261261,0.43186936936936937,0.17342342342342343
105031105,2673,36,43,408,330,935,83,1117,0.013468013468013467,0.016086793864571642,0.1526374859708193,0.12345679012345678,0.4178825289936401,0.18219229330340442
105031106,4200,67,51,403,436,1183,109,1443,0.015952380952380954,0.012142857142857143,0.09595238095238096,0.10380952380952381,0.3435714285714286,0.12404761904761905
106011107,4670,129,90,687,652,1982,121,2298,0.027623126338329765,0.019271948608137045,0.14710920770877944,0.13961456102783726,0.49207708779443254,0.19400428265524625
106011108,9363,130,114,827,1013,3846,343,4553,0.013884438748264446,0.012175584748478052,0.08832639111395921,0.10819181886147602,0.48627576631421554,0.1143864146107017
106011109,3946,148,97,561,516,1431,101,1703,0.03750633552965028,0.0245818550430816,0.14216928535225545,0.13076533198175366,0.43157627977698937,0.20425747592498733
106011110,4296,136,97,650,666,1603,98,1885,0.03165735567970205,0.022579143389199256,0.15130353817504655,0.15502793296089384,0.438780260707635,0.20554003724394787
106011111,6972,87,71,582,777,3404,231,3939,0.012478485370051634,0.010183591508892713,0.08347676419965576,0.11144578313253012,0.564974182444062,0.10613884107860011
106011112,7005,197,124,993,865,3149,227,3682,0.028122769450392576,0.017701641684511063,0.14175588865096359,0.12348322626695217,0.5256245538900786,0.18758029978586724
106011113,2404,51,32,298,278,934,55,1065,0.021214642262895173,0.013311148086522463,0.12396006655574043,0.11564059900166389,0.4430116472545757,0.15848585690515807
106021114,3036,117,61,498,430,1147,91,1348,0.038537549407114624,0.020092226613965744,0.16403162055335968,0.14163372859025034,0.4440052700922266,0.22266139657444006
106021115,12601,522,321,2276,2034,4677,345,5520,0.04142528370764225,0.02547416871676851,0.18062058566780415,0.16141576065391636,0.43806047139115944,0.2475200380922149
106021116,3805,216,122,898,625,1267,88,1486,0.05676741130091984,0.032063074901445464,0.23600525624178711,0.164257555847569,0.39053876478318,0.3248357424441524
106021117,9488,242,157,1204,1300,4326,308,4982,0.025505902192242833,0.016547217537942666,0.12689713322091062,0.1370151770657673,0.5250843170320405,0.1689502529510961
106021118,4345,148,111,682,730,1983,98,2273,0.03406214039125432,0.025546605293440737,0.1569620253164557,0.16800920598388952,0.5231300345224396,0.21657077100115074
106031119,2938,79,71,425,424,1154,53,1317,0.026889040163376447,0.024166099387338325,0.1446562287270252,0.14431586113002043,0.4482641252552757,0.19571136827773997
106031120,3111,60,48,306,460,1317,99,1574,0.019286403085824494,0.015429122468659595,0.09836065573770492,0.1478624236579878,0.5059466409514626,0.133076181292189
106031121,11127,452,243,1729,1812,3749,239,4553,0.04062191066774513,0.021838770558101916,0.15538779545250292,0.1628471286060933,0.40918486564213175,0.21784847667834997
106031122,5580,106,69,580,701,2436,203,2865,0.01899641577060932,0.012365591397849462,0.1039426523297491,0.12562724014336918,0.5134408602150538,0.13530465949820789
106031123,2711,112,59,502,420,1069,59,1261,0.041313168572482475,0.021763187015861305,0.18517152342309112,0.1549243821468093,0.4651420140169679,0.24824787901143489
106031124,2694,92,65,391,442,939,64,1179,0.03414996288047513,0.02412769116555308,0.1451373422420193,0.16406829992576094,0.4376391982182628,0.20341499628804752
106031125,6538,169,107,815,1035,2685,182,3123,0.02584888345059651,0.016365861119608444,0.12465585806056897,0.15830529213826858,0.4776690119302539,0.16687060263077394
106041126,4907,120,71,566,539,2096,174,2431,0.024454860403505196,0.014469125738740575,0.11534542490319952,0.10984308131241084,0.49541471367434275,0.15426941104544528
106041127,1704,17,26,184,224,739,45,856,0.009976525821596244,0.015258215962441314,0.107981220657277,0.13145539906103287,0.5023474178403756,0.13321596244131456
106041128,2650,75,55,443,343,968,53,1117,0.02830188679245283,0.020754716981132074,0.16716981132075473,0.12943396226415094,0.42150943396226415,0.21622641509433962
106041129,3651,66,51,471,447,1374,95,1629,0.018077239112571898,0.013968775677896467,0.12900575184880855,0.12243221035332785,0.44617912900575185,0.16105176663927692
107011131,10129,289,203,1284,1493,4451,283,5234,0.028531937999802547,0.020041465100207326,0.12676473491953796,0.14739855859413564,0.5167341297265278,0.17533813801954784
107011132,3955,179,93,632,713,1605,105,1878,0.04525916561314791,0.023514538558786345,0.1597977243994943,0.1802781289506953,0.47484197218710494,0.22857142857142856
107011133,9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
107011134,7680,492,232,1614,1145,2422,160,2914,0.0640625,0.030208333333333334,0.21015625,0.14908854166666666,0.37942708333333336,0.30442708333333335
107011545,5320,148,72,655,785,2078,156,2492,0.027819548872180452,0.013533834586466165,0.1231203007518797,0.1475563909774436,0.46842105263157896,0.16447368421052633
107011546,3836,136,56,483,516,1369,127,1688,0.035453597497393116,0.014598540145985401,0.1259124087591241,0.13451511991657977,0.44004171011470283,0.17596454640250261
107011547,1955,73,36,222,272,761,48,893,0.037340153452685425,0.018414322250639385,0.11355498721227622,0.1391304347826087,0.4567774936061381,0.16930946291560103
107021135,7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
107031136,6476,186,131,883,1014,2892,149,3354,0.02872143298332304,0.02022853613341569,0.13634959851760345,0.15657813465101914,0.5179122915379865,0.1852995676343422
107031137,3136,47,39,293,415,1370,98,1633,0.014987244897959183,0.012436224489795918,0.0934311224489796,0.13233418367346939,0.5207270408163265,0.12085459183673469
107031138,4359,328,181,1018,772,1145,80,1414,0.07524661619637532,0.041523285157146136,0.2335398027070429,0.17710484055976142,0.32438632713925214,0.35030970406056433
107031139,3256,206,146,779,569,1027,53,1226,0.06326781326781326,0.04484029484029484,0.23925061425061425,0.17475429975429976,0.37653562653562656,0.34735872235872234
107031140,4522,312,201,1142,726,1110,60,1357,0.06899601946041574,0.04444935869084476,0.25254312251216277,0.16054842989827509,0.30008845643520565,0.36598850066342326
107031141,7921,374,199,1515,1365,2922,159,3424,0.04721626057315995,0.02512309051887388,0.19126372932710517,0.1723267264234314,0.4322686529478601,0.263603080419139
107031142,4553,142,94,615,758,1889,126,2227,0.031188227542279817,0.020645728091368328,0.13507577421480343,0.16648363716231057,0.48912804744124755,0.18690972984845158
107031143,8526,173,139,883,1161,3450,264,4121,0.020290874970677927,0.01630307295331926,0.10356556415669717,0.13617171006333567,0.48334506216279616,0.14015951208069435
107041144,10665,1013,336,2572,1634,3019,206,3651,0.09498359118612283,0.03150492264416315,0.24116268166901078,0.15321143928738865,0.34233473980309426,0.36765119549929676
107041145,7348,409,190,1404,1164,2571,170,3058,0.05566140446379967,0.025857376156777353,0.19107240065323897,0.15841045182362548,0.4161676646706587,0.272591181273816
107041146,10799,1247,419,2951,1622,2752,211,3421,0.11547365496805259,0.03879988887859987,0.2732660431521437,0.1501990925085656,0.3167885915362534,0.4275395869987962
107041147,4649,356,163,1041,748,1458,62,1699,0.07657560765756076,0.03506130350613035,0.22391912239191225,0.1608948160894816,0.36545493654549366,0.3355560335556034
107041148,6531,915,345,1964,973,1402,79,1657,0.14010105649977034,0.05282498851630684,0.3007196447710917,0.1489817792068596,0.2537130607870158,0.4936456897871689
107041150,10046,834,396,2256,1637,3032,177,3632,0.0830181166633486,0.03941867409914394,0.22456699183754728,0.16295042803105714,0.3615369301214414,0.34700378260003983
107041548,8824,1003,307,2480,1063,1605,123,2008,0.1136672710788758,0.03479147778785131,0.2810516772438803,0.12046690843155032,0.22756119673617406,0.4295104261106074
107041549,8560,1008,284,2495,1222,1943,176,2381,0.11775700934579439,0.033177570093457946,0.29147196261682246,0.14275700934579438,0.2781542056074766,0.44240654205607477
108011151,2074,56,40,254,297,802,50,953,0.02700096432015429,0.019286403085824494,0.12246865959498554,0.14320154291224688,0.45949855351976854,0.16875602700096431
108011152,6863,189,153,991,1002,2358,201,2918,0.027538977123706832,0.0222934576715722,0.14439749380737288,0.14600029141774734,0.42517849337024627,0.1942299286026519
108011153,3052,107,50,375,413,1245,72,1466,0.03505897771952818,0.0163826998689384,0.12287024901703801,0.1353211009174312,0.4803407601572739,0.1743119266055046
108011154,2915,32,43,256,365,1123,76,1335,0.010977701543739279,0.014751286449399657,0.08782161234991423,0.12521440823327615,0.45797598627787306,0.11355060034305317
108021155,6568,91,81,604,624,2208,237,2737,0.013855054811205846,0.01233252131546894,0.09196102314250913,0.09500609013398295,0.4167174177831912,0.11814859926918392
108021156,4369,109,85,582,557,1667,116,1975,0.02494850080109865,0.019455252918287938,0.13321126115815976,0.1274891279468986,0.4520485236896315,0.17761501487754636
108021157,2218,55,46,296,282,820,74,997,0.02479711451758341,0.020739404869251576,0.13345356176735798,0.12714156898106402,0.44950405770964835,0.17899008115419296
108021158,3163,56,65,366,408,1113,88,1369,0.017704710717673097,0.020550110654441987,0.11571293076193487,0.1289914638001897,0.4328169459374012,0.15396775213404995
108021159,3686,98,92,597,494,1345,115,1639,0.026587086272381984,0.024959305480195332,0.16196418882257188,0.13402061855670103,0.44465545306565385,0.2135105805751492
108021160,2443,49,42,321,327,979,57,1171,0.02005730659025788,0.017191977077363897,0.1313958248055669,0.13385182153090464,0.4793286942284077,0.1686451084731887
108031161,223,7,0,41,29,77,4,101,0.03139013452914798,0.0,0.18385650224215247,0.13004484304932734,0.452914798206278,0.21524663677130046
108041162,8399,234,187,1186,1220,3170,219,3819,0.027860459578521252,0.02226455530420288,0.14120728658173592,0.14525538754613646,0.4546969877366353,0.19133230146446006
108041163,14425,699,484,2970,2363,4450,334,5459,0.048457538994800695,0.033552859618717505,0.20589254766031195,0.16381282495667243,0.37844020797227035,0.2879029462738302
108041164,8237,256,139,1176,1310,2809,216,3408,0.031079276435595483,0.016875075877139736,0.14277042612601676,0.15903848488527375,0.41374286754886486,0.19072477843875196
108041165,2752,72,74,394,388,1013,91,1207,0.02616279069767442,0.02688953488372093,0.1431686046511628,0.14098837209302326,0.43859011627906974,0.19622093023255813
108041166,5079,101,109,702,693,1996,160,2395,0.0198858042921835,0.02146091750344556,0.13821618428824572,0.1364441819255759,0.47154951762157904,0.1795629060838748
108051167,2266,43,59,341,319,787,65,983,0.018976169461606355,0.026037069726390114,0.15048543689320387,0.1407766990291262,0.43380406001765226,0.19549867608120036
108051168,5471,208,165,902,863,1936,117,2371,0.03801864375799671,0.03015902028879547,0.16486931091208187,0.1577408152074575,0.43337598245293363,0.23304697495887405
108051169,8789,172,165,1009,1190,3158,330,3965,0.019569916941631585,0.01877346683354193,0.11480259415178064,0.13539651837524178,0.451132096939356,0.15314597792695414
108051170,6068,134,130,748,837,2271,179,2748,0.022083058668424523,0.02142386288727752,0.12326961107448912,0.13793671720500988,0.45286750164798945,0.16677653263019115
108051171,2249,39,46,269,274,895,80,1101,0.017341040462427744,0.020453534904401955,0.11960871498443752,0.1218319253001334,0.4895509115162294,0.15740329035126724
109011172,7416,355,302,1706,1167,2487,192,2929,0.04786947141316073,0.040722761596548,0.23004314994606256,0.15736245954692557,0.39495685005393744,0.3186353829557713
109011173,4568,135,147,729,620,1714,136,2020,0.02955341506129597,0.032180385288966724,0.15958844133099825,0.13572679509632224,0.44220665499124345,0.22132224168126094
109011174,5540,378,249,1342,800,1349,101,1625,0.06823104693140794,0.044945848375451264,0.24223826714801444,0.1444043321299639,0.2933212996389892,0.35541516245487365
