sa2_maincode_2016,unemployment_mar_19,unemployment_jun_19
111031233,7.1,6.5
111031234,6.1,5.8
111031235,5.6,5.3
112011236,4.2,4.3
112011237,2.4,2.5
112011238,2.4,2.4
112011239,4.3,4.5
112011240,3.2,3.1
112011241,3.8,4.0
112011242,1.3,1.4
112011243,5.7,5.7
112021244,6.3,6.5
112021245,5.7,5.7
112021246,4.1,4.2
112021247,6.0,6.2
112021248,6.7,7.0
112021249,3.8,4.0
112031250,2.2,2.3
112031251,5.9,6.3
112031252,4.6,4.8
112031253,2.8,2.9
112031254,4.0,4.1
112031550,0.0,0.0
112031551,0.0,0.0
112031552,0.0,0.0
113011256,3.7,2.9
113011257,2.7,2.1
113011258,5.1,4.2
113011259,6.7,5.2
113021260,4.3,2.9
113021261,4.8,3.8
113021262,3.2,2.5
113031263,5.9,4.7
113031264,3.4,2.6
113031265,4.3,3.6
113031266,4.5,3.7
113031267,3.5,2.7
113031268,1.5,1.3
113031269,5.1,4.1
113031270,7.6,6.1
113031271,2.4,1.9
114011272,2.7,3.5
114011273,5.2,6.2
114011274,6.1,8.2
114011276,3.4,4.0
114011277,5.8,7.5
114011278,10.5,13.1
114011279,8.5,10.5
114011280,8.6,10.6
114011281,2.9,3.8
114011282,5.6,7.0
114011283,5.2,6.0
114021284,1.6,2.2
114021285,2.2,2.8
114021286,2.0,2.8
114021287,2.6,3.5
114021288,3.0,3.6
114021289,1.6,1.8
115011290,3.4,3.4
115011291,1.9,2.1
115011294,1.7,1.6
115011296,1.8,1.9
115011553,0.0,0.0
115011554,0.0,0.0
115011555,0.0,0.0
115011556,0.0,0.0
115011557,0.0,0.0
115011558,0.0,0.0
115011559,0.0,0.0
115021297,3.3,3.3
115021298,3.6,3.4
115031299,6.6,6.2
115031300,5.4,5.5
115041301,5.1,5.2
115041302,2.2,2.3
116011303,4.6,4.9
116011304,5.8,6.1
116011306,5.9,6.3
116011307,4.0,4.2
116011308,3.7,4.0
116011560,0.0,0.0
116011561,0.0,0.0
116021309,1.5,1.6
116021310,1.2,1.2
116021312,3.3,3.8
116021562,0.0,0.0
116021563,0.0,0.0
116031313,16.5,18.1
116031314,3.7,3.9
116031315,4.0,4.3
116031316,12.8,13.7
116031317,11.3,12.5
116031319,4.2,4.5
117011321,1.9,1.9
117011322,2.9,2.8
117011323,5.6,5.8
117021326,4.8,4.9
117021327,3.5,3.7
117021328,3.3,3.3
117031329,2.6,2.6
117031330,1.4,1.5
117031331,3.6,3.9
117031332,2.1,2.1
117031333,2.0,2.0
117031334,1.5,1.6
117031335,3.9,3.9
117031336,4.2,4.2
117031337,0.9,0.9
117031338,2.8,3.0
118011339,3.1,3.0
118011340,2.3,2.2
118011341,3.2,3.1
118011343,1.8,1.7
118011344,2.5,2.4
118011345,2.2,2.0
118011346,1.7,1.6
118011347,2.0,1.9
118021348,3.6,3.4
118021350,8.1,7.7
118021564,0.0,0.0
118021565,0.0,0.0
118021566,0.0,0.0
118021567,0.0,0.0
118021568,0.0,0.0
118021569,0.0,0.0
118021570,0.0,0.0
119011354,10.5,10.2
119011355,2.0,2.1
119011356,6.7,6.6
119011357,9.4,9.2
119011358,4.1,4.1
119011359,3.6,3.4
119011360,5.2,5.1
119011361,9.8,9.3
119011571,0.0,0.0
119011572,0.0,0.0
119021362,6.7,6.4
119021363,4.2,4.0
119021364,3.0,2.9
119021366,10.1,9.7
119021367,5.2,5.3
119021573,0.0,0.0
119021574,0.0,0.0
119031368,3.4,3.1
119031369,2.7,2.6
119031370,4.7,4.4
119031371,1.9,1.8
119031372,3.2,3.0
119031373,8.6,8.6
119031374,2.5,2.3
119041375,2.6,2.5
119041376,3.5,3.4
119041377,3.8,3.6
119041378,1.8,1.7
119041379,2.4,2.3
119041380,3.6,3.4
119041381,2.8,2.7
119041382,3.0,3.0
120011383,2.2,1.8
120011384,1.5,1.3
120011385,1.4,1.1
120011386,2.8,2.3
120021387,2.0,1.6
120021388,3.5,2.8
120021389,4.0,3.4
120031390,4.5,3.5
120031391,4.0,3.1
120031392,3.8,3.0
120031393,4.0,3.3
120031394,5.0,4.2
120031395,2.7,2.2
120031396,3.1,2.5
120031575,0.0,0.0
120031576,0.0,0.0
121011398,4.4,4.3
121011399,3.4,3.4
121011400,2.4,2.4
121011401,2.4,2.2
121011402,3.0,2.9
121021403,5.7,5.5
121021404,5.5,5.1
121021406,5.5,5.3
121021577,0.0,0.0
121021578,0.0,0.0
121021579,0.0,0.0
121031407,2.5,2.4
121031408,2.0,1.9
121031409,2.3,2.2
121031410,1.9,1.9
121031411,2.7,2.6
121031412,2.9,2.8
121041413,1.8,1.9
121041414,3.0,2.7
121041415,2.3,2.2
121041416,3.0,2.9
121041417,2.4,2.5
122011418,2.0,2.3
122011419,1.8,2.0
122021420,1.8,1.9
122021421,2.1,2.6
122021422,2.5,2.9
122021423,2.1,2.2
122031424,4.1,4.7
122031425,2.6,2.7
122031426,3.7,4.2
122031427,1.7,1.9
122031428,2.2,2.4
122031429,2.2,2.4
122031430,2.5,2.8
122031431,2.6,2.8
122031432,2.6,2.5
123011433,1.8,1.9
123011434,2.0,2.0
123011435,2.4,2.6
123021436,9.2,9.4
123021437,6.9,7.1
123021438,6.5,6.7
123021440,4.1,4.2
123021441,6.2,6.5
123021442,6.1,6.2
123021443,5.4,5.5
123021444,6.3,6.5
123031445,3.3,3.3
123031446,1.7,1.7
123031447,3.6,3.8
123031448,2.0,1.9
124011449,4.1,4.9
124011450,1.7,2.0
124011452,6.0,6.9
124011453,2.9,3.4
124011454,1.6,1.9
124011455,2.8,3.4
124031457,3.4,4.0
124031458,2.9,3.4
124031459,1.8,2.0
124031460,1.4,1.7
124031461,3.3,4.0
124031462,5.3,6.4
124031463,1.1,1.3
124031464,7.5,9.2
124031465,1.3,1.7
124041466,3.5,4.1
124041467,4.2,5.0
124041468,2.5,3.0
124051469,1.6,2.0
124051470,2.3,2.7
124051580,0.0,0.0
124051581,0.0,0.0
125011473,2.1,2.2
125011582,0.0,0.0
125011583,0.0,0.0
125011584,0.0,0.0
125011585,0.0,0.0
125011586,0.0,0.0
125011587,0.0,0.0
125021476,2.4,2.4
125021477,5.8,6.2
125021478,6.0,6.2
125031479,11.6,11.9
125031480,18.6,18.6
125031481,8.7,8.8
125031482,4.4,4.6
125031483,16.3,16.7
125031484,11.9,12.0
125031485,10.0,10.3
125041489,4.9,5.1
125041490,1.4,1.6
125041491,3.1,3.1
125041492,4.8,4.8
125041493,5.7,5.9
125041494,2.6,2.6
125041588,0.0,0.0
125041589,0.0,0.0
126011495,2.9,3.0
126011496,3.1,3.4
126021497,4.4,4.6
126021498,2.9,3.0
126021499,2.9,3.0
126021500,3.1,3.2
126021501,4.0,4.2
126021503,3.9,4.0
126021590,0.0,0.0
126021591,0.0,0.0
127011504,15.5,14.6
127011505,0.0,0.0
127011506,1.8,1.9
127011593,0.0,0.0
127011594,0.0,0.0
127011595,0.0,0.0
127011596,0.0,0.0
127011597,0.0,0.0
127021509,7.1,6.8
127021510,5.5,5.3
127021511,7.7,7.1
127021512,7.8,7.4
127021513,8.3,7.5
127021514,6.5,6.1
127021515,18.6,17.4
127021516,12.4,11.8
127021517,6.7,6.4
127021518,1.9,1.8
127021519,9.3,8.8
127021520,6.2,5.8
127031522,4.7,4.4
127031523,2.2,2.0
127031524,1.3,1.3
127031598,0.0,0.0
127031599,0.0,0.0
127031600,0.0,0.0
127031601,0.0,0.0
128011529,1.4,1.5
128011530,2.9,3.2
128011531,2.4,2.5
128011602,0.0,0.0
128011603,0.0,0.0
128011604,0.0,0.0
128011605,0.0,0.0
128011606,0.0,0.0
128021533,2.1,2.1
128021534,1.1,1.2
128021535,1.7,1.7
128021536,1.8,1.8
128021538,3.6,3.8
128021607,0.0,0.0
128021608,0.0,0.0
128021609,0.0,0.0
201011001,2.0,1.8
201011002,3.9,3.6
201011003,3.9,3.6
201011004,6.7,6.0
201011005,1.9,1.7
201011006,4.0,3.7
201011007,1.8,1.7
201011008,7.3,6.7
201021009,2.5,2.2
201021010,3.9,3.7
201021011,2.8,2.5
201021012,2.5,2.3
201031013,5.3,5.0
201031014,4.2,4.0
201031015,4.2,4.0
201031016,8.6,8.0
201031017,6.6,6.2
202011018,7.4,6.2
202011019,6.4,5.4
202011020,3.7,3.1
202011021,4.3,3.6
202011022,5.1,4.2
202011023,1.3,1.1
202011024,1.3,1.1
202011025,3.3,2.8
202021026,1.9,1.6
202021027,3.5,2.9
202021028,2.9,2.5
202021029,5.0,4.4
202021030,2.2,1.8
202021031,1.5,1.3
202031032,3.1,2.7
202031033,5.2,4.7
203011034,2.5,2.4
203011035,4.0,3.9
203011036,3.7,3.7
203021037,6.0,5.7
203021038,21.8,21.3
203021039,8.2,7.9
203021040,5.2,5.1
203021041,3.9,3.9
203021042,2.4,2.3
203021043,4.6,4.6
203021044,4.2,4.1
203021045,12.8,12.7
203021046,3.0,3.0
203021047,8.2,8.0
203031048,6.0,6.0
203031049,2.2,2.2
203031050,2.8,2.8
203031051,10.2,10.2
203031052,3.9,3.5
203031053,1.8,1.8
204011054,2.6,2.6
204011055,3.1,3.1
204011056,3.2,3.1
204011057,2.0,1.9
204011058,2.9,2.8
204011059,6.8,6.5
204011060,1.6,1.5
204011062,3.7,3.8
204021063,5.3,5.2
204021064,2.6,2.5
204021065,2.7,2.6
204021066,4.5,4.3
204021067,1.8,1.8
204031068,2.6,2.4
204031069,1.8,1.7
204031070,3.1,3.2
204031071,2.9,2.8
204031072,3.3,3.2
204031073,4.1,4.1
204031074,4.6,4.4
204031075,1.7,1.6
205011076,4.0,3.1
205011077,2.8,2.1
205011078,3.0,2.2
205011079,3.3,2.6
205021081,6.7,5.2
205021082,3.5,2.7
205021084,7.2,5.5
205021085,7.7,6.0
205021086,4.9,3.8
205031087,3.0,2.3
205031089,3.6,2.8
205031090,2.7,2.2
205031091,4.0,3.1
205031093,5.2,4.1
205041094,5.2,4.0
205041095,9.7,7.5
205041096,14.0,10.8
205041097,4.7,3.6
205041098,3.3,2.5
205051100,4.5,3.5
205051101,3.8,2.9
205051102,4.1,3.1
205051103,6.3,5.1
205051104,5.0,3.9
206011105,5.6,5.6
206011106,4.3,4.4
206011107,6.4,6.5
206011108,7.6,7.5
206011109,4.9,4.7
206021110,4.0,4.1
206021111,4.6,4.6
206021112,5.9,6.0
206031113,7.5,8.0
206031114,3.4,3.5
206031115,12.9,13.1
206031116,3.8,3.8
206041117,6.3,6.4
206041118,1.8,1.9
206041119,1.4,1.4
206041121,4.9,5.0
206041122,3.2,3.4
206041123,6.0,6.1
206041124,3.5,3.5
206041125,2.2,2.2
206041126,1.7,1.8
206051128,1.7,1.9
206051129,3.1,3.1
206051130,4.2,4.1
206051131,1.3,1.7
206051132,7.3,7.5
206051133,5.5,5.6
206051134,4.3,4.5
206061135,1.8,1.8
206061136,3.5,3.6
206061137,2.9,2.9
206061138,1.8,1.8
206071139,2.8,2.8
206071140,4.1,4.1
206071141,10.1,10.8
206071142,8.3,8.5
206071143,4.8,5.0
206071144,4.9,4.9
206071145,3.7,3.9
207011146,4.7,4.7
207011147,3.2,3.2
207011148,3.5,3.5
207011149,2.8,2.8
207011150,1.6,1.7
207011151,3.1,3.2
207011152,2.6,2.5
207011153,2.8,2.7
207011154,3.9,3.6
207011155,2.6,2.8
207021156,6.1,6.0
207021157,6.2,6.2
207021159,4.0,3.8
207021160,5.2,5.1
207021424,0.0,0.0
207021425,0.0,0.0
207031161,4.6,4.7
207031162,6.7,6.5
207031163,6.8,6.8
207031164,5.2,5.1
207031165,7.4,7.9
207031166,6.4,6.4
207031167,2.3,2.5
208011168,1.7,1.7
208011169,1.8,1.7
208011170,2.3,2.1
208011171,4.7,4.5
208011172,4.3,4.4
208011173,2.6,2.5
208021174,2.9,3.0
208021176,3.3,3.4
208021177,2.7,2.7
208021178,3.2,3.1
208021179,2.7,2.7
208021180,4.4,4.2
208021181,3.2,3.1
208021182,3.6,3.6
208021426,0.0,0.0
208021427,0.0,0.0
208031183,3.1,3.0
208031185,5.5,5.5
208031186,6.6,6.5
208031187,6.7,6.7
208031188,4.9,4.8
208031189,3.7,3.6
208031190,4.2,4.2
208031191,5.5,5.3
208031193,4.1,4.1
208041194,1.9,1.9
208041195,2.3,2.4
209011196,4.5,4.3
209011197,3.2,2.9
209011198,2.5,2.4
209011199,8.9,8.3
209011200,1.8,1.6
209011201,1.1,0.9
209011202,3.2,2.9
209011203,2.6,2.4
209011204,4.0,3.8
209021205,2.8,2.5
209021207,7.1,6.5
209021208,6.2,5.8
209021428,0.0,0.0
209021429,0.0,0.0
209031209,1.9,1.8
209031210,3.2,2.9
209031211,3.4,3.0
209031212,3.5,3.3
209031213,1.6,1.4
209031214,1.4,1.3
209031215,2.2,2.0
209041216,3.0,3.0
209041217,5.3,4.9
209041219,9.8,9.2
209041220,4.8,4.4
209041221,6.0,5.6
209041223,10.0,9.6
209041224,4.6,4.3
209041225,4.3,4.0
209041430,0.0,0.0
209041431,0.0,0.0
209041432,0.0,0.0
209041433,0.0,0.0
209041434,0.0,0.0
209041435,0.0,0.0
209041436,0.0,0.0
209041437,0.0,0.0
210011226,3.5,3.8
210011228,2.8,2.9
210011229,3.0,3.1
210011230,1.8,2.0
210011231,1.6,1.6
210021232,1.6,1.6
210021233,0.9,1.1
210021234,2.1,2.2
210021235,3.1,3.3
210031236,4.3,4.5
210031237,6.2,6.6
210031239,2.8,2.8
210031438,0.0,0.0
